player_name,position,pos_rank,adp,adp_prev,adp_change,snapshot_date,team,fpts_ppr,model_overall_rank,model_pos_rank_str,value_score
Bijan Robinson,RB,RB1,1.4,1.3,-0.1,2026-04-01,ATL,370.5,2.0,RB1,-0.6
Jahmyr Gibbs,RB,RB2,1.8,1.8,-0.0,2026-04-01,DET,337.0,5.0,RB2,-3.2
Ja'Marr Chase,WR,WR1,3.4,3.7,0.3,2026-04-01,CIN,304.6,12.0,WR3,-8.6
Puka Nacua,WR,WR2,3.9,3.4,-0.5,2026-04-01,LA,341.1,4.0,WR1,-0.1
Jaxon Smith-Njigba,WR,WR3,5.1,5.2,0.1,2026-04-01,SEA,302.3,13.0,WR4,-7.9
Jonathan Taylor,RB,RB3,6.4,6.5,0.1,2026-04-01,IND,266.2,29.0,RB5,-22.6
Christian McCaffrey,RB,RB4,7.5,7.2,-0.3,2026-04-01,SF,263.4,30.0,RB6,-22.5
CeeDee Lamb,WR,WR4,8.5,8.8,0.3,2026-04-01,DAL,248.2,37.0,WR9,-28.5
Amon-Ra St. Brown,WR,WR5,9.0,9.0,-0.0,2026-04-01,DET,306.6,10.0,WR2,-1.0
Justin Jefferson,WR,WR6,10.1,10.1,-0.0,2026-04-01,MIN,234.9,41.0,WR11,-30.9
James Cook,RB,RB5,11.0,11.1,0.1,2026-04-01,BUF,283.0,23.0,RB4,-12.0
Ashton Jeanty,RB,RB6,11.9,11.8,-0.1,2026-04-01,LV,226.3,46.0,RB8,-34.1
De'Von Achane,RB,RB7,13.5,13.1,-0.4,2026-04-01,MIA,336.3,6.0,RB3,7.5
Omarion Hampton,RB,RB8,15.3,15.1,-0.2,2026-04-01,LAC,173.2,89.0,RB20,-73.7
Jeremiyah Love,RB,RB9,15.6,16.0,0.4,2026-04-01,,,,,
Saquon Barkley,RB,RB10,16.0,16.2,0.2,2026-04-01,PHI,160.9,106.0,RB25,-90.0
Malik Nabers,WR,WR7,17.7,18.1,0.4,2026-04-01,,,,,
Trey McBride,TE,TE1,18.9,18.3,-0.6,2026-04-01,ARI,253.6,35.0,TE1,-16.1
Kenneth Walker III,RB,RB11,19.1,20.0,0.9,2026-04-01,SEA,182.7,81.0,RB19,-61.9
Drake London,WR,WR8,19.5,19.4,-0.1,2026-04-01,ATL,218.4,54.0,WR16,-34.5
Derrick Henry,RB,RB12,20.4,20.6,0.2,2026-04-01,BAL,120.8,157.0,RB42,-136.6
