attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_ppr_projected,player_id,player_name,position,team,age,age_multiplier,projection_confidence,games_recent,games,fpts_ppr_actual,error,abs_error,pct_error
406.0,248.0,2877.0,19.8,12.2,24.0,38.0,0.0,0.0,0.0,0.0,0.0,173.7,00-0026158,Joe Flacco,QB,CLE,40.0,0.59,Low,6,7,99.04,74.65999999999998,74.65999999999998,75.4
474.0,308.0,3609.0,21.9,10.5,49.0,60.0,0.7,0.0,0.0,0.0,0.0,221.2,00-0026498,Matthew Stafford,QB,LA,37.0,0.82,High,16,18,250.3,-29.100000000000023,29.100000000000023,-11.6
464.0,301.0,3313.0,24.7,9.0,323.0,363.0,3.2,0.0,0.0,0.0,0.0,268.8,00-0029263,Russell Wilson,QB,DEN,36.0,0.88,High,15,12,192.18,76.62,76.62,39.9
607.0,414.0,4518.0,33.4,10.6,76.0,80.0,0.9,0.0,0.0,0.0,0.0,306.5,00-0029604,Kirk Cousins,QB,MIN,36.0,0.88,Medium,8,14,176.32,130.18,130.18,73.8
,,0.0,0.0,0.0,0.0,0.0,0.0,86.0,62.0,637.0,4.4,152.1,00-0030035,Adam Thielen,WR,CAR,34.0,0.63,High,17,10,139.5,12.599999999999994,12.599999999999994,9.0
,,0.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,304.0,2.1,80.0,00-0030061,Zach Ertz,TE,ARI,34.0,0.79,Low,7,20,216.9,-136.9,136.9,-63.1
,,0.0,0.0,0.0,0.0,0.0,0.0,117.0,83.0,935.0,5.2,207.7,00-0030279,Keenan Allen,WR,LAC,32.0,0.8,Medium,13,15,184.4,23.299999999999983,23.299999999999983,12.6
,,0.0,0.0,0.0,0.0,0.0,0.0,68.0,39.0,416.0,1.7,90.8,00-0030431,Robert Woods,WR,HOU,32.0,0.8,High,15,13,42.5,48.3,48.3,113.6
,,0.0,0.0,0.0,0.0,0.0,0.0,109.0,83.0,942.0,7.1,219.8,00-0030506,Travis Kelce,TE,KC,35.0,0.71,High,19,19,231.9,-12.099999999999994,12.099999999999994,-5.2
,,0.0,0.0,0.0,0.0,0.0,0.0,95.0,58.0,747.0,4.8,161.5,00-0030564,DeAndre Hopkins,WR,TEN,32.0,0.8,High,17,13,122.6,38.900000000000006,38.900000000000006,31.7
,,0.0,0.0,0.0,0.0,0.0,0.0,95.0,58.0,747.0,4.8,161.5,00-0030564,DeAndre Hopkins,WR,TEN,32.0,0.8,High,17,6,38.3,123.2,123.2,321.7
561.0,374.0,4109.0,24.8,9.9,229.0,208.0,1.4,0.0,0.0,0.0,0.0,273.0,00-0030565,Geno Smith,QB,SEA,34.0,0.97,High,15,17,266.0,7.0,7.0,2.6
,,0.0,0.0,0.0,32.0,136.0,1.0,8.0,6.0,42.0,0.3,31.6,00-0030578,Cordarrelle Patterson,RB,ATL,33.0,0.44,Medium,12,13,37.5,-5.899999999999999,5.899999999999999,-15.7
,,0.0,0.0,0.0,0.0,0.0,0.0,54.0,30.0,431.0,2.6,88.7,00-0031235,Odell Beckham Jr.,WR,BAL,32.0,0.8,High,16,8,14.5,74.2,74.2,511.7
,,0.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,472.0,3.7,108.4,00-0031236,Brandin Cooks,WR,DAL,31.0,0.87,High,17,10,69.6,38.80000000000001,38.80000000000001,55.7
544.0,360.0,3911.0,24.6,10.4,74.0,77.0,0.3,0.0,0.0,0.0,0.0,243.5,00-0031280,Derek Carr,QB,NO,33.0,1.0,High,17,10,150.9,92.6,92.6,61.4
,,0.0,0.0,0.0,0.0,0.0,0.0,122.0,75.0,919.0,7.5,211.9,00-0031381,Davante Adams,WR,LV,32.0,0.8,High,17,11,196.4,15.5,15.5,7.9
,,0.0,0.0,0.0,0.0,0.0,0.0,118.0,70.0,1072.0,9.7,235.4,00-0031408,Mike Evans,WR,TB,31.0,0.87,High,19,15,262.6,-27.200000000000017,27.200000000000017,-10.4
,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,29.0,283.0,1.1,63.9,00-0031428,Allen Robinson,WR,PIT,31.0,0.87,High,16,6,6.0,57.9,57.9,965.0
218.0,131.0,1525.0,10.0,9.6,45.0,60.0,0.3,0.0,0.0,0.0,0.0,89.6,00-0031503,Jameis Winston,QB,NO,31.0,1.02,Low,6,11,131.14,-41.53999999999999,41.53999999999999,-31.7
,,0.0,0.0,0.0,0.0,0.0,0.0,126.0,75.0,1172.0,6.2,229.4,00-0031544,Amari Cooper,WR,CLE,30.0,0.93,High,16,10,71.8,157.60000000000002,157.60000000000002,219.5
,,0.0,0.0,0.0,0.0,0.0,0.0,126.0,75.0,1172.0,6.2,229.4,00-0031544,Amari Cooper,WR,CLE,30.0,0.93,High,16,6,61.0,168.4,168.4,276.1
,,0.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,298.0,2.7,70.0,00-0031549,Nelson Agholor,WR,BAL,31.0,0.87,High,18,15,52.6,17.4,17.4,33.1
,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,152.0,2.3,43.0,00-0031585,MyCole Pruitt,TE,ATL,32.0,0.92,Medium,9,6,16.0,27.0,27.0,168.8
,,0.0,0.0,0.0,0.0,0.0,0.0,118.0,79.0,924.0,6.1,208.0,00-0031588,Stefon Diggs,WR,BUF,31.0,0.87,High,19,8,121.92,86.08,86.08,70.6
,,0.0,0.0,0.0,94.0,464.0,5.5,15.0,12.0,81.0,0.5,102.5,00-0031687,Raheem Mostert,RB,MIA,32.0,0.44,High,16,12,70.9,31.599999999999994,31.599999999999994,44.6
,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,23.0,230.0,1.2,53.2,00-0031941,Jamison Crowder,WR,WAS,31.0,0.87,Low,7,6,34.1,19.1,19.1,56.0
,,0.0,0.0,0.0,5.0,23.0,0.2,8.0,7.0,49.0,0.3,17.2,00-0032104,Ameer Abdullah,RB,LV,31.0,0.54,High,16,13,125.2,-108.0,108.0,-86.3
,,0.0,0.0,0.0,0.0,0.0,0.0,95.0,64.0,765.0,5.3,172.3,00-0032211,Tyler Lockett,WR,SEA,32.0,0.8,High,17,17,121.0,51.30000000000001,51.30000000000001,42.4
,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,138.0,0.9,33.2,00-0032385,Sterling Shepard,WR,NYG,32.0,0.8,Medium,10,13,80.3,-47.099999999999994,47.099999999999994,-58.7
