player_id,player_name,position,team,season,adp,adp_stdev,adp_rank,round_drafted,fantasy_points_ppr,actual_rank,value_score,vorp,outcome
00-0033280,Christian McCaffrey,RB,CAR,2020,1.3,0.5,1,1,90.4,199,-198,-35.9,Bust
00-0034844,Saquon Barkley,RB,NYG,2020,2.5,0.7,2,1,15.4,410,-408,-110.9,Bust
00-0033045,Ezekiel Elliott,RB,DAL,2020,3.7,1.4,4,1,223.7,52,-48,97.4,Bust
00-0033906,Alvin Kamara,RB,NO,2020,4.5,1.2,4,1,377.8,4,0,251.5,Hit
00-0036360,Clyde Edwards-Helaire,RB,KC,2020,5.6,1.5,6,1,176.0,87,-81,49.7,Bust
00-0033893,Dalvin Cook,RB,MIN,2020,6.1,1.6,6,1,337.8,11,-5,211.5,Reach
00-0032764,Derrick Henry,RB,TEN,2020,6.6,1.6,7,1,333.1,12,-5,206.8,Reach
00-0032765,Michael Thomas,WR,NO,2020,7.3,1.8,7,1,83.9,213,-206,-68.9,Bust
00-0035700,Josh Jacobs,RB,LV,2020,9.1,1.6,9,1,231.3,47,-38,105.0,Bust
00-0031381,Davante Adams,WR,GB,2020,10.3,1.8,10,1,358.4,8,2,205.6,Hit
00-0033897,Joe Mixon,RB,CIN,2020,11.4,2.1,11,1,99.6,181,-170,-26.7,Bust
00-0034791,Nick Chubb,RB,CLE,2020,12.3,2.4,12,2,207.7,60,-48,81.4,Bust
00-0033118,Kenyan Drake,RB,ARI,2020,13.2,2.4,13,2,192.2,69,-56,65.9,Bust
00-0033040,Tyreek Hill,WR,KC,2020,13.6,2.6,14,2,328.9,15,-1,176.1,Reach
00-0035243,Miles Sanders,RB,PHI,2020,14.2,2.6,14,2,170.4,92,-78,44.1,Bust
00-0033699,Austin Ekeler,RB,LAC,2020,15.2,2.7,15,2,165.3,97,-82,39.0,Bust
00-0027944,Julio Jones,WR,ATL,2020,16.4,2.9,16,2,146.10000000000002,122,-106,-6.7,Bust
00-0033873,Patrick Mahomes,QB,KC,2020,18.3,6.2,18,2,374.4,5,13,149.3,Hit
00-0030564,DeAndre Hopkins,WR,ARI,2020,18.9,3.0,19,2,287.8,19,0,135.0,Hit
00-0030506,Travis Kelce,TE,KC,2020,19.9,3.6,20,2,312.76,17,3,228.1,Hit
00-0034796,Lamar Jackson,QB,BAL,2020,21.4,4.9,21,2,332.78,14,7,107.7,Hit
00-0033921,Chris Godwin Jr.,WR,TB,2020,22.0,2.9,22,2,191.0,72,-50,38.2,Bust
00-0033553,James Conner,RB,PIT,2020,23.5,3.2,24,2,164.60000000000002,99,-75,38.3,Bust
00-0033288,George Kittle,TE,SF,2020,24.7,3.5,25,3,125.1,153,-128,40.4,Bust
00-0033932,Kenny Golladay,WR,DET,2020,26.2,3.1,26,3,65.80000000000001,245,-219,-87.0,Bust
00-0031408,Mike Evans,WR,TB,2020,27.6,3.3,28,3,248.6,37,-9,95.8,Reach
00-0033856,Leonard Fournette,RB,TB,2020,27.9,4.1,28,3,132.0,142,-114,5.7,Bust
00-0032187,David Johnson,RB,HOU,2020,29.3,3.5,29,3,179.5,84,-55,53.2,Bust
00-0030035,Adam Thielen,WR,MIN,2020,30.2,3.4,30,3,254.0,33,-3,101.2,Reach
00-0031428,Allen Robinson,WR,CHI,2020,33.3,3.6,33,3,262.9,29,4,110.1,Hit
00-0036223,Jonathan Taylor,RB,IND,2020,33.3,4.6,33,3,252.8,34,-1,126.5,Reach
00-0031235,Odell Beckham Jr.,WR,CLE,2020,34.7,4.8,35,3,86.82,206,-171,-66.0,Bust
00-0031544,Amari Cooper,WR,DAL,2020,35.6,4.0,36,3,236.8,44,-8,84.0,Reach
00-0034827,DJ Moore,WR,CAR,2020,36.6,4.1,37,4,211.5,57,-20,58.7,Reach
00-0032144,Melvin Gordon,RB,DEN,2020,38.7,4.7,39,4,198.4,64,-25,72.1,Reach
00-0033908,Cooper Kupp,WR,LA,2020,38.8,4.7,39,4,210.7,58,-19,57.9,Reach
00-0033857,JuJu Smith-Schuster,WR,PIT,2020,40.8,4.3,41,4,234.1,45,-4,81.3,Reach
00-0027966,Mark Ingram,RB,BAL,2020,40.9,4.5,41,4,52.9,279,-238,-73.4,Bust
00-0034837,Calvin Ridley,WR,ATL,2020,42.4,3.9,42,4,281.5,21,21,128.7,Hit
00-0035250,Devin Singletary,RB,BUF,2020,42.5,5.8,42,4,143.60000000000002,124,-82,17.3,Bust
00-0034753,Mark Andrews,TE,BAL,2020,43.1,6.3,43,4,170.10000000000002,93,-50,85.5,Bust
00-0035676,A.J. Brown,WR,TEN,2020,43.7,3.9,44,4,247.5,38,6,94.7,Hit
00-0030431,Robert Woods,WR,LA,2020,44.0,3.7,44,4,245.1,39,5,92.3,Hit
00-0035640,DK Metcalf,WR,SEA,2020,46.5,3.7,46,4,271.3,25,21,118.5,Hit
00-0031687,Raheem Mostert,RB,SF,2020,48.3,5.9,48,5,99.7,180,-132,-26.6,Bust
00-0034777,DJ Chark,WR,JAX,2020,48.7,4.3,49,5,153.60000000000002,115,-66,0.8,Bust
00-0030279,Keenan Allen,WR,LAC,2020,49.7,4.7,50,5,245.1,39,11,92.3,Hit
00-0035659,Terry McLaurin,WR,WAS,2020,51.3,3.6,51,5,223.8,50,1,71.0,Hit
00-0032211,Tyler Lockett,WR,SEA,2020,51.6,4.1,52,5,265.4,27,25,112.6,Hit
00-0030061,Zach Ertz,TE,PHI,2020,51.9,6.0,52,5,77.5,223,-171,-7.1,Bust
00-0036414,Cam Akers,RB,LA,2020,52.2,5.9,52,5,101.8,175,-123,-24.5,Bust
