position,round_drafted,avg_value_score,avg_vorp,hit_pct,bust_pct,steal_pct,reach_pct,sample_size
QB,2,3.5,112.0,83.3,0.0,0.0,16.7,6
QB,3,-2.3,104.5,81.8,18.2,0.0,0.0,11
QB,4,3.4,49.6,44.4,11.1,22.2,22.2,9
QB,5,0.0,34.9,44.4,22.2,22.2,11.1,9
QB,6,32.0,71.8,27.3,9.1,63.6,0.0,11
QB,7,54.5,66.7,25.0,0.0,75.0,0.0,8
QB,8,-1.8,17.4,6.7,26.7,60.0,6.7,15
QB,9,8.2,19.8,0.0,12.5,87.5,0.0,8
QB,10,48.9,35.1,9.1,9.1,72.7,9.1,11
QB,11,66.0,3.0,9.1,0.0,81.8,9.1,11
QB,12,53.6,-38.5,25.0,0.0,62.5,12.5,8
QB,13,84.0,-12.3,0.0,0.0,80.0,20.0,10
QB,14,47.2,-34.5,16.7,16.7,66.7,0.0,12
QB,15,103.7,-33.2,0.0,0.0,100.0,0.0,3
RB,1,-62.2,96.5,15.9,47.7,0.0,36.4,44
RB,2,-50.6,80.8,19.2,42.3,0.0,38.5,26
RB,3,-56.6,41.2,17.4,65.2,0.0,17.4,23
RB,4,-100.2,-4.2,10.0,70.0,0.0,20.0,20
RB,5,-75.2,8.3,12.5,45.8,0.0,41.7,24
RB,6,-92.8,-9.2,18.2,40.9,9.1,31.8,22
RB,7,-103.6,-23.3,18.8,56.2,6.2,18.8,16
RB,8,-82.2,-27.3,4.8,71.4,14.3,9.5,21
RB,9,-96.5,-46.2,13.6,72.7,0.0,13.6,22
RB,10,-13.5,-8.6,18.8,43.8,18.8,18.8,16
RB,11,-40.1,-27.1,12.5,50.0,25.0,12.5,24
RB,12,-114.2,-77.9,7.1,78.6,7.1,7.1,14
RB,13,-43.1,-31.6,6.2,31.2,31.2,31.2,16
RB,14,-157.9,-89.2,9.5,81.0,9.5,0.0,21
RB,15,-63.6,-60.1,0.0,57.1,14.3,28.6,7
TE,1,-35.5,141.4,0.0,50.0,0.0,50.0,2
TE,2,-37.8,134.5,50.0,50.0,0.0,0.0,4
TE,3,-72.3,71.4,0.0,100.0,0.0,0.0,6
TE,4,-13.3,125.9,33.3,33.3,0.0,33.3,3
TE,5,-49.0,80.9,11.1,44.4,11.1,33.3,9
TE,6,-82.4,35.6,0.0,85.7,14.3,0.0,7
TE,7,-16.0,72.7,42.9,42.9,0.0,14.3,7
TE,8,-72.4,21.4,0.0,75.0,0.0,25.0,8
TE,9,-19.4,48.2,40.0,20.0,0.0,40.0,5
TE,10,-1.5,55.9,18.2,27.3,27.3,27.3,11
TE,11,-46.8,9.8,16.7,50.0,16.7,16.7,6
TE,12,6.6,34.8,30.0,20.0,30.0,20.0,10
TE,13,-18.4,19.5,14.3,28.6,28.6,28.6,14
TE,14,-22.7,7.4,22.2,33.3,33.3,11.1,9
TE,15,53.5,28.2,0.0,0.0,100.0,0.0,2
WR,1,-45.1,116.4,21.7,39.1,0.0,39.1,23
WR,2,-35.1,104.5,34.4,40.6,0.0,25.0,32
WR,3,-61.3,49.4,8.8,44.1,0.0,47.1,34
WR,4,-37.0,64.7,36.4,33.3,3.0,27.3,33
WR,5,-46.7,37.4,33.3,42.4,0.0,24.2,33
WR,6,-40.7,30.6,12.9,41.9,12.9,32.3,31
WR,7,-30.2,33.2,33.3,29.2,12.5,25.0,24
WR,8,-33.5,16.0,20.0,40.0,24.0,16.0,25
WR,9,-26.4,7.8,8.3,37.5,29.2,25.0,24
WR,10,-39.7,-15.9,14.3,52.4,23.8,9.5,21
WR,11,-52.6,-32.8,4.5,63.6,22.7,9.1,22
WR,12,8.6,0.1,20.0,30.0,40.0,10.0,20
WR,13,-21.9,-35.3,0.0,12.5,37.5,50.0,8
WR,14,-23.9,-36.9,13.5,40.5,27.0,18.9,37
WR,15,14.0,-32.4,50.0,0.0,25.0,25.0,4
