season,position,adp_round,avg_vorp_pg,median_vorp_pg,avg_fpts_pg,hit_rate,bust_rate,elite_rate,n
2021,QB,5,1.14,1.14,16.68,50.0,50.0,50.0,2
2021,QB,6,3.14,3.04,18.68,100.0,0.0,66.7,3
2021,QB,8,0.51,-3.06,16.05,33.3,66.7,33.3,3
2021,QB,10,-3.4,-3.4,12.14,50.0,50.0,50.0,2
2021,QB,11,-4.08,-2.9,11.46,0.0,100.0,0.0,3
2021,QB,12,-4.18,-4.18,11.36,0.0,100.0,0.0,2
2021,QB,13,0.29,0.29,15.83,50.0,50.0,0.0,2
2021,QB,15,-3.24,-3.24,12.3,50.0,50.0,0.0,2
2021,RB,1,5.37,3.3,13.1,77.8,0.0,55.6,9
2021,RB,2,2.0,1.63,9.73,50.0,25.0,25.0,4
2021,RB,3,3.41,2.56,11.14,100.0,0.0,50.0,4
2021,RB,4,0.02,-0.87,7.75,25.0,75.0,25.0,4
2021,RB,5,1.95,1.26,9.68,66.7,33.3,33.3,3
2021,RB,7,-4.07,-4.07,3.66,0.0,100.0,0.0,2
2021,RB,8,2.25,2.88,9.98,66.7,33.3,33.3,3
2021,RB,9,-3.06,-3.1,4.67,0.0,100.0,0.0,6
2021,RB,10,-3.44,-3.44,4.28,0.0,100.0,0.0,2
2021,RB,11,-3.83,-3.82,3.9,0.0,100.0,0.0,5
2021,RB,12,-2.72,-2.72,5.02,0.0,100.0,0.0,2
2021,RB,13,-3.4,-3.6,4.33,0.0,100.0,0.0,3
2021,RB,14,-5.55,-5.46,2.18,0.0,100.0,0.0,6
2021,TE,5,2.72,2.72,8.88,100.0,0.0,50.0,2
2021,TE,8,-1.38,-1.38,4.78,50.0,50.0,0.0,2
2021,TE,9,0.48,0.48,6.64,0.0,0.0,0.0,2
2021,TE,13,-2.12,-1.96,4.04,0.0,100.0,0.0,3
2021,TE,14,-0.83,-1.29,5.33,0.0,66.7,0.0,3
2021,WR,1,4.46,4.46,13.08,100.0,0.0,50.0,2
2021,WR,2,4.62,5.17,13.24,80.0,0.0,60.0,5
2021,WR,3,0.62,0.24,9.24,25.0,50.0,0.0,4
2021,WR,4,2.49,-0.27,11.11,33.3,50.0,33.3,6
2021,WR,5,1.45,2.28,10.07,60.0,40.0,20.0,5
2021,WR,6,-1.73,-1.74,6.89,0.0,75.0,0.0,4
2021,WR,7,-0.3,-2.22,8.32,25.0,75.0,25.0,4
2021,WR,8,-1.87,-2.45,6.75,20.0,80.0,0.0,5
2021,WR,9,-0.35,0.0,8.27,0.0,33.3,0.0,3
2021,WR,10,-2.14,-2.19,6.48,0.0,100.0,0.0,4
2021,WR,11,-4.9,-4.9,3.72,0.0,100.0,0.0,2
2021,WR,12,-1.3,-1.48,7.32,0.0,100.0,0.0,4
2021,WR,14,-3.63,-4.3,4.99,0.0,81.8,0.0,11
