#,Name,Pos,Team,Overall,Std.,High,Low
1,Jonathan Taylor,RB,IND,1.3,0.6,1.01,1.03
2,Christian McCaffrey,RB,SF,2.5,0.8,1.01,1.04
3,Derrick Henry,RB,BAL,4.1,1,1.01,1.06
4,Justin Jefferson,WR,MIN,4.8,1.4,1.02,1.09
5,Dalvin Cook,RB,FA,5.8,1.6,1.03,2.04
6,Cooper Kupp,WR,SEA,6.6,1.8,1.02,1.11
7,Najee Harris,RB,LAC,7.5,2.1,1.03,2.01
8,Ja'Marr Chase,WR,CIN,8.9,1.8,1.02,2.01
9,Joe Mixon,RB,HOU,9.5,2.1,1.05,2.05
10,D'Andre Swift,RB,CHI,10.8,1.9,1.05,2.04
11,Alvin Kamara,RB,NO,11.1,2.1,1.04,2.05
12,Davante Adams,WR,LAR,12.4,2.6,1.06,2.08
13,Stefon Diggs,WR,NE,14.2,2.2,1.1,2.09
14,Nick Chubb,RB,HOU,14.6,2.2,1.07,2.12
15,Saquon Barkley,RB,PHI,15.4,2.8,1.09,2.1
16,Aaron Jones Sr.,RB,MIN,16.4,2.7,1.09,3.01
17,Travis Kelce,TE,KC,17.2,3.3,1.01,2.12
18,Javonte Williams,RB,DAL,18.1,2.9,1.12,3.07
19,CeeDee Lamb,WR,DAL,19.2,2.9,2.01,3.04
20,Leonard Fournette,RB,FA,21,2.6,2.01,3.03
21,Deebo Samuel Sr.,WR,WAS,21.3,2.7,1.1,3.04
22,Josh Allen,QB,BUF,21.7,6.3,1.01,5.03
23,Mark Andrews,TE,BAL,23.3,3,2.04,3.06
24,Tyreek Hill,WR,FA,23.6,3.5,1.1,3.07
25,James Conner,RB,ARI,25.1,3.5,2.01,3.09
26,Mike Evans,WR,TB,26.7,3,2.07,4.01
27,Ezekiel Elliott,RB,FA,27.7,4,2.06,5.08
28,A.J. Brown,WR,PHI,28.4,3.4,2.07,3.12
29,Michael Pittman Jr.,WR,IND,28.9,3.1,2.05,4.02
30,Keenan Allen,WR,LAC,31.2,2.5,3.02,4.02
31,Cam Akers,RB,SEA,31.4,3.3,2.09,4.05
32,Kyle Pitts Sr.,TE,ATL,31.8,3.4,2.1,4.09
33,Tee Higgins,WR,CIN,33.2,3.1,3.02,4.07
34,Justin Herbert,QB,LAC,33.9,5.2,2.05,6.01
35,Travis Etienne Jr.,RB,JAX,34.5,4.4,2.04,4.07
36,J.K. Dobbins,RB,DEN,36.2,11.8,2.09,11.03
37,Mike Williams,WR,FA,36.8,3.3,3.03,4.11
38,Patrick Mahomes,QB,KC,38,5.7,2.07,5.11
39,David Montgomery,RB,HOU,38.1,6.1,2.08,4.12
40,Jaylen Waddle,WR,MIA,38.8,5.6,2.07,5.02
41,DJ Moore,WR,BUF,40.8,4.1,3.05,5.04
42,Elijah Mitchell,RB,NE,41.8,5,2.05,5.03
43,Terry McLaurin,WR,WAS,42.3,3.7,3.03,5.03
44,Breece Hall,RB,NYJ,43.6,5,3.06,5.05
45,George Kittle,TE,SF,44.5,4.8,3.04,5.06
46,A.J. Dillon,RB,PHI,46.4,5.5,2.07,6.1
47,DK Metcalf,WR,PIT,46.7,5.1,3.1,6.02
48,Michael Thomas,WR,FA,47.1,4.8,3.09,5.09
49,Lamar Jackson,QB,BAL,47.3,4.7,3.11,6.01
50,Courtland Sutton,WR,DEN,47.3,5.3,3.05,5.12
51,Diontae Johnson,WR,FA,50.9,4.1,4.06,6.01
52,Darren Waller,TE,MIA,51.8,5.5,3.11,7.03
53,Clyde Edwards-Helaire,RB,FA,52.4,6.2,2.09,7.02
54,Damien Harris,RB,FA,53.5,4.7,3.07,6.03
55,Chris Godwin Jr.,WR,TB,53.9,6,3.12,6.03
56,Kyler Murray,QB,ARI,56.9,6.1,4.08,7.08
57,DeAndre Hopkins,WR,BAL,57.1,6.9,4.08,9.09
58,Brandin Cooks,WR,BUF,57.5,5,4.11,6.1
59,Jalen Hurts,QB,PHI,57.6,6.5,3.12,7.06
60,Allen Robinson II,WR,FA,58.3,5.8,4.02,7.01
61,Rashaad Penny,RB,FA,60.6,6,4.09,7.02
62,Dalton Schultz,TE,HOU,61.8,8,4.05,7.08
63,Miles Sanders,RB,DAL,62.2,9.2,5.02,11.04
64,Jerry Jeudy,WR,CLE,63.6,5.2,5.02,7.04
65,Gabe Davis,WR,BUF,64.5,6.7,4.09,7.09
66,Kareem Hunt,RB,KC,64.9,7,4.09,7.12
67,Marquise Brown,WR,KC,66.4,6.5,4.12,7.06
68,Chase Edmonds,RB,WAS,68.2,6.9,5.01,11.02
69,Russell Wilson,QB,NYG,68.3,6.5,5.07,10.03
70,Tony Pollard,RB,TEN,69.3,6.1,4.09,8.02
71,Adam Thielen,WR,FA,70.8,7.9,2.12,8.02
72,T.J. Hockenson,TE,MIN,73.4,8.7,5.06,9.1
73,Darnell Mooney,WR,ATL,73.8,5,6.05,8.02
74,Devin Singletary,RB,NYG,74.8,6.3,5.05,8.02
75,Amon-Ra St. Brown,WR,DET,75.3,6.8,5.02,8.05
76,Rhamondre Stevenson,RB,NE,75.6,8.3,4.11,11.05
77,Dameon Pierce,RB,KC,76.4,10.7,3.07,9.02
78,Dallas Goedert,TE,PHI,77.8,6.5,5.1,8.12
79,Dak Prescott,QB,DAL,79.2,7.4,5.11,10.01
80,JuJu Smith-Schuster,WR,KC,80.5,9.5,3.08,8.12
81,Tom Brady,QB,FA,82,8.6,5.08,10.02
82,Melvin Gordon III,RB,FA,83.4,7.9,6.1,11.01
83,Rashod Bateman,WR,BAL,85.4,8.2,4.12,9.05
84,Matthew Stafford,QB,LAR,85.8,10.7,5.12,10.04
85,DeVonta Smith,WR,PHI,87.7,5.7,7.01,9.05
86,Cordarrelle Patterson,RB,FA,90.6,6.4,6.11,9.09
87,Elijah Moore,WR,FA,91.8,7.8,6.03,9.12
88,Trey Lance,QB,LAC,91.8,9.4,6.06,10.1
89,James Cook,RB,BUF,92.9,7.4,7.03,11.09
90,Zach Ertz,TE,WAS,94.7,10,6.01,10.08
91,Brandon Aiyuk,WR,SF,95.6,6.7,7.07,10.04
92,Aaron Rodgers,QB,PIT,95.6,9.8,7.01,10.12
93,Allen Lazard,WR,FA,95.7,7.2,6.07,10.09
94,Alexander Mattison,RB,MIA,95.8,9.3,7.02,11.11
95,Nyheim Hines,RB,FA,99,8.4,7.04,12.08
96,Tyler Allgeier,RB,ATL,99.2,6.3,7.12,10.01
97,Christian Kirk,WR,HOU,101.3,6.6,7.05,10.1
98,Robert Woods,WR,FA,101.5,6.9,7.11,10.08
99,Antonio Gibson,RB,FA,102.2,8.9,7.05,11.01
100,Derek Carr,QB,FA,102.8,10.6,6.1,12.01
101,Tyler Lockett,WR,LV,106.5,8.5,6.03,10.1
102,Kirk Cousins,QB,ATL,107.4,8.3,8.03,11.03
103,Kadarius Toney,WR,FA,108.1,7.9,8.01,11.05
104,Isiah Pacheco,RB,KC,109.8,12.4,5.06,12.06
105,Pat Freiermuth,TE,PIT,111.5,10.9,8.03,12.06
106,Chris Olave,WR,NO,114.2,7.1,9.01,12.01
107,Drake London,WR,ATL,115.7,10.3,6.05,13.02
108,Cole Kmet,TE,CHI,116.2,11.7,8.02,13.07
109,Tampa Bay Defense,DEF,TB,118.5,14.9,5.01,12.11
110,Buffalo Defense,DEF,BUF,120.9,11.3,8.09,13.07
111,George Pickens,WR,DAL,121.1,11.1,8.06,13.04
112,Julio Jones,WR,FA,126.2,14.2,7.12,13.04
113,Romeo Doubs,WR,GB,128.1,11.3,9.02,13.06
114,Josh Jacobs,RB,GB,128.7,21.8,4.04,15.12
115,LA Rams Defense,DEF,LAR,134.5,10.9,9.04,13.07
116,Justin Fields,QB,NYJ,136.3,13.6,10.05,15.1
117,Darrell Henderson Jr.,RB,FA,138.1,19.6,8.01,15.12
118,Justin Tucker,PK,FA,138.4,17.9,6.01,15.11
119,LA Chargers Defense,DEF,LAC,144.1,14.9,10.01,14.09
120,Harrison Butker,PK,KC,146.9,16.7,9.12,16.07
121,Indianapolis Defense,DEF,IND,150.7,18.8,10.01,17.01
122,Raheem Mostert,RB,LV,151.1,17.1,10.03,15.12
123,Dawson Knox,TE,BUF,157.9,26.9,8.01,17.12
125,Jared Goff,QB,DET,120.7,12.7,7.03,13.06
126,Skyy Moore,WR,SF,121.7,10,6.11,13.05
127,Devin Singletary,RB,NYG,122,14.6,3.06,13.03
128,Darnell Mooney,WR,ATL,122.5,10.7,8.07,13.06
129,San Francisco Defense,DEF,SF,123.3,15.9,2.04,14.01
