adp,Name,Pos,Team,Overall,Std.,High,Low
1,Jonathan Taylor,RB,IND,1.3,0.6,1.01,1.04
2,Christian McCaffrey,RB,SF,2.4,0.9,1.01,1.05
3,Austin Ekeler,RB,WAS,2.7,0.9,1.01,1.07
4,Derrick Henry,RB,BAL,4.3,1.4,1.01,1.09
5,Justin Jefferson,WR,MIN,4.6,1.4,1.01,1.09
6,Cooper Kupp,WR,SEA,5.7,1.8,1.02,1.12
7,Najee Harris,RB,LAC,7.1,2.1,1.02,2.02
8,Dalvin Cook,RB,FA,7.5,1.7,1.03,2.01
9,Ja'Marr Chase,WR,CIN,8.7,1.8,1.03,2.03
10,Joe Mixon,RB,HOU,10.1,1.8,1.02,2.04
11,Alvin Kamara,RB,NO,10.9,2,1.04,2.05
12,Davante Adams,WR,LAR,12,2.5,1.05,2.07
13,D'Andre Swift,RB,CHI,12.8,2.4,1.05,2.07
14,Stefon Diggs,WR,NE,13.6,2,1.08,2.07
15,Aaron Jones Sr.,RB,MIN,14.9,2.4,1.07,2.1
16,Saquon Barkley,RB,PHI,15.5,2.3,1.08,2.11
17,Travis Kelce,TE,KC,16.5,3.2,1.05,2.12
18,CeeDee Lamb,WR,DAL,17.5,2.6,1.1,3.01
19,Nick Chubb,RB,HOU,18.8,2.9,1.03,3.02
20,Deebo Samuel Sr.,WR,WAS,19.6,2.9,1.11,3.05
21,Javonte Williams,RB,DAL,20.2,3.3,1.07,3.04
22,Josh Allen,QB,BUF,20.4,5.3,1.04,3.07
23,Leonard Fournette,RB,FA,21.9,3,1.08,3.09
24,Tyreek Hill,WR,FA,22.7,3.4,1.08,3.08
25,Michael Pittman Jr.,WR,IND,24.9,3.2,1.09,3.09
26,Mark Andrews,TE,BAL,25.5,3.8,2.01,4.01
27,Mike Evans,WR,TB,26.5,3.2,2.02,3.1
28,Ezekiel Elliott,RB,FA,27.7,3.7,2.02,4.03
29,James Conner,RB,ARI,28.4,3.3,2.06,4.03
30,Keenan Allen,WR,LAC,29.5,3.3,2.08,4.04
31,A.J. Brown,WR,PHI,30.4,3.6,2.03,4.03
32,Kyle Pitts Sr.,TE,ATL,31.2,4.1,2.03,4.06
33,Tee Higgins,WR,CIN,32.5,3.5,2.12,4.06
34,Cam Akers,RB,SEA,33.1,4.6,2.08,4.09
35,Justin Herbert,QB,LAC,33.2,4.3,2.08,4.12
36,Travis Etienne Jr.,RB,JAX,33.6,4.1,2.11,4.12
37,DJ Moore,WR,BUF,35.9,3.1,2.11,4.1
38,Terry McLaurin,WR,WAS,38,3.6,3.03,4.12
39,Patrick Mahomes,QB,KC,38.3,7.7,1.01,5.05
40,J.K. Dobbins,RB,DEN,38.8,3.9,3.05,5.04
41,David Montgomery,RB,HOU,39.3,4.7,2.1,5.11
42,Mike Williams,WR,FA,39.6,4,3.04,5.02
43,Elijah Mitchell,RB,NE,42.4,5.2,2.12,5.09
44,Diontae Johnson,WR,FA,43.4,4.3,3.05,5.08
45,George Kittle,TE,SF,44.2,5.4,2.12,5.11
46,Breece Hall,RB,NYJ,44.4,4.7,3.05,5.1
47,Courtland Sutton,WR,DEN,45.3,5.3,3.01,5.12
48,Joe Burrow,QB,CIN,46.1,6.3,2.09,5.1
49,Josh Jacobs,RB,GB,46.8,5.9,3.02,5.12
50,Jaylen Waddle,WR,MIA,47.7,5.5,2.11,6.09
51,A.J. Dillon,RB,PHI,48.7,5.6,3.02,6.02
52,Darren Waller,TE,MIA,50.4,6.4,3.07,6.08
