ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.8,Ja'Marr Chase,WR,CIN,52,0.8,1,3,10
1.02,2.2,Saquon Barkley,RB,PHI,17,0.9,1,3,9
1.02,2.3,Bijan Robinson,RB,ATL,58,0.7,1,3,5
1.04,3.9,Jahmyr Gibbs,RB,DET,58,1.3,1,8,8
1.05,5.1,Derrick Henry,RB,BAL,15,1.1,3,7,7
1.06,5.9,Justin Jefferson,WR,MIN,31,1.8,2,9,6
1.07,6.8,CeeDee Lamb,WR,DAL,64,1.7,2,10,10
1.07,6.9,Christian McCaffrey,RB,SF,51,1.8,3,11,14
1.1,9.6,Ashton Jeanty,RB,LV,55,2,5,14,8
1.1,10,Nico Collins,WR,HOU,34,1.5,7,13,6
1.11,11.2,Malik Nabers,WR,NYG,59,2.2,6,16,14
1.12,11.9,Josh Jacobs,RB,GB,36,1.5,8,15,5
2.02,13.5,Puka Nacua,WR,LAR,24,2.1,10,18,8
2.02,13.6,De'Von Achane,RB,MIA,34,1.8,10,19,12
2.02,13.7,Jonathan Taylor,RB,IND,31,2.4,8,19,11
2.04,15.8,Brian Thomas Jr.,WR,JAX,32,2.8,12,20,8
2.04,16,Amon-Ra St. Brown,WR,DET,69,2.9,9,22,8
2.05,17.5,Drake London,WR,ATL,55,3.4,11,22,5
2.06,17.9,Kyren Williams,RB,LAR,26,1.7,15,21,8
2.07,18.7,Lamar Jackson,QB,BAL,32,6.8,8,28,7
2.07,19,Bucky Irving,RB,TB,49,3.1,10,24,9
2.08,20.4,Chase Brown,RB,CIN,106,3.9,11,28,10
2.09,21.5,A.J. Brown,WR,PHI,44,2.1,16,26,9
2.12,24.2,Josh Allen,QB,BUF,40,3.5,15,32,7
3.01,25.1,Tee Higgins,WR,CIN,17,3.1,20,32,10
3.02,25.6,Ladd McConkey,WR,LAC,35,3,17,30,12
3.04,27.8,Mike Evans,WR,TB,12,2.5,22,32,9
3.05,28.6,Jayden Daniels,QB,WAS,37,2.1,25,32,12
3.05,29,James Cook,RB,BUF,68,3.9,20,39,7
3.06,29.9,Joe Burrow,QB,CIN,32,4,19,37,10
3.06,29.9,Davante Adams,WR,LAR,21,2.6,27,38,8
3.06,30.3,Tyreek Hill,WR,FA,19,2.9,26,36,0
3.09,32.9,DK Metcalf,WR,PIT,14,3.9,27,42,5
3.1,33.7,Brock Bowers,TE,LV,109,10.4,13,49,8
3.1,34.2,Omarion Hampton,RB,LAC,114,5.6,19,47,12
3.1,34.3,Terry McLaurin,WR,WAS,32,3.4,28,43,12
3.11,35.1,Chuba Hubbard,RB,CAR,32,3.9,25,41,14
3.11,35.2,Marvin Harrison Jr.,WR,ARI,28,3.8,30,43,8
3.11,35.2,James Conner,RB,ARI,27,3.7,26,43,8
3.12,35.9,Jalen Hurts,QB,PHI,54,3.7,26,47,9
4.01,36.9,Alvin Kamara,RB,NO,32,5,25,46,11
4.04,39.6,Jaxon Smith-Njigba,WR,SEA,57,4.7,27,48,8
4.06,41.7,Trey McBride,TE,ARI,56,10.8,17,54,8
4.06,41.7,Garrett Wilson,WR,NYJ,27,5.8,26,51,9
4.08,43.6,Kenneth Walker III,RB,SEA,73,6.6,26,56,8
4.08,44.1,DJ Moore,WR,BUF,17,4.2,37,53,7
4.11,46.5,Xavier Worthy,WR,KC,15,5.4,39,60,10
4.11,47.3,Tetairoa McMillan,WR,CAR,31,5.6,38,59,14
4.11,47.5,TreVeyon Henderson,RB,NE,99,5.3,33,58,14
4.12,48.2,DeVonta Smith,WR,PHI,16,3.3,43,54,9
5.01,48.6,Breece Hall,RB,NYJ,29,4.8,39,57,9
5.02,49.7,Courtland Sutton,WR,DEN,65,5.6,36,61,12
5.03,50.7,George Kittle,TE,SF,34,4,42,58,14
5.03,51.1,Baker Mayfield,QB,TB,17,11.2,32,67,9
5.06,53.6,Jameson Williams,WR,DET,38,4.2,47,65,8
5.07,54.7,Patrick Mahomes,QB,KC,18,6.1,38,62,10
5.09,57.3,Tony Pollard,RB,TEN,28,3.9,49,66,10
5.1,57.6,Calvin Ridley,WR,TEN,55,4.6,49,70,10
5.1,57.8,D'Andre Swift,RB,CHI,50,4.3,46,66,5
5.1,58.2,David Montgomery,RB,HOU,17,6.2,42,67,6
6.01,61.1,RJ Harvey,RB,DEN,55,5.9,47,71,12
6.01,61.4,George Pickens,WR,DAL,74,4.4,50,71,10
6.02,61.6,Jerry Jeudy,WR,CLE,18,5.9,49,73,9
6.04,63.6,Zay Flowers,WR,BAL,28,5.4,58,80,7
6.04,64,Isiah Pacheco,RB,KC,39,5,51,71,10
6.06,66.3,Aaron Jones Sr.,RB,MIN,14,4.8,56,72,6
6.07,67,Jaylen Waddle,WR,MIA,32,6,57,82,12
6.07,67.3,Kaleb Johnson,RB,PIT,11,5.9,61,77,5
6.08,67.9,Deebo Samuel Sr.,WR,WAS,19,7.6,57,84,12
6.08,68,Sam LaPorta,TE,DET,34,7.3,54,79,8
6.1,69.7,Bo Nix,QB,DEN,34,8.3,53,90,12
6.1,69.9,Tyrone Tracy Jr.,RB,NYG,12,5.6,64,80,14
6.11,71.4,Travis Hunter,WR,JAX,33,6.5,57,88,8
6.12,71.8,Matthew Golden,WR,GB,74,7.7,60,89,5
7.01,72.7,Chris Olave,WR,NO,18,7,58,83,11
