ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.4,Ja'Marr Chase,WR,CIN,75,0.6,1,3,10
1.02,1.8,Bijan Robinson,RB,ATL,69,0.7,1,3,5
1.02,2.1,Saquon Barkley,RB,PHI,45,0.9,1,4,9
1.04,4.2,Justin Jefferson,WR,MIN,51,1.2,2,7,6
1.05,4.9,CeeDee Lamb,WR,DAL,57,1.6,1,9,10
1.05,5,Jahmyr Gibbs,RB,DET,133,1.5,1,10,8
1.07,7.1,Malik Nabers,WR,NYG,36,1.3,5,9,14
1.08,8.1,Christian McCaffrey,RB,SF,89,1.5,4,11,14
1.1,9.8,Nico Collins,WR,HOU,65,1.8,6,13,6
1.11,10.6,Amon-Ra St. Brown,WR,DET,78,1.8,6,16,8
1.11,10.9,Puka Nacua,WR,LAR,25,2.1,7,16,8
1.11,11.4,Derrick Henry,RB,BAL,106,2.2,7,20,7
1.12,12.3,Ashton Jeanty,RB,LV,91,2.2,7,20,8
2.02,14.4,De'Von Achane,RB,MIA,33,2.3,10,18,12
2.03,14.9,Drake London,WR,ATL,54,2.1,11,19,5
2.03,15.2,Brian Thomas Jr.,WR,JAX,61,2.4,8,22,8
2.04,16.1,Josh Jacobs,RB,GB,82,2.6,11,23,5
2.06,17.6,Bucky Irving,RB,TB,76,3.4,8,25,9
2.06,17.7,A.J. Brown,WR,PHI,35,2.3,13,22,9
2.07,19.5,Chase Brown,RB,CIN,127,3.2,13,35,10
2.08,20,Jonathan Taylor,RB,IND,81,3,12,33,11
2.1,21.6,Tee Higgins,WR,CIN,19,4.1,13,27,10
2.11,23.1,Lamar Jackson,QB,BAL,74,5.5,8,31,7
2.12,23.7,Josh Allen,QB,BUF,63,5.5,9,34,7
2.12,23.9,Ladd McConkey,WR,LAC,49,2.9,18,36,12
2.12,24,Kyren Williams,RB,LAR,76,2.4,18,30,8
3.02,26.5,Brock Bowers,TE,LV,145,4.5,14,36,8
3.03,26.7,Davante Adams,WR,LAR,20,4.6,16,32,8
3.03,26.9,Tyreek Hill,WR,FA,50,4.1,17,44,0
3.04,27.9,Alvin Kamara,RB,NO,61,4,23,40,11
3.05,28.9,Mike Evans,WR,TB,67,4.2,18,47,9
3.07,30.9,Joe Burrow,QB,CIN,62,5.3,17,39,10
3.07,31.4,Jayden Daniels,QB,WAS,37,3.5,22,39,12
3.09,32.5,Jaxon Smith-Njigba,WR,SEA,97,4.9,19,52,8
3.09,32.7,Trey McBride,TE,ARI,89,5.1,19,42,8
3.11,34.8,James Cook,RB,BUF,133,4.7,22,45,7
4.01,36.8,Terry McLaurin,WR,WAS,74,4.1,27,51,12
4.01,37.4,Jalen Hurts,QB,PHI,71,5.6,22,50,9
4.02,38.2,DK Metcalf,WR,PIT,38,5.8,30,56,5
4.02,38.2,Marvin Harrison Jr.,WR,ARI,44,4.3,27,47,8
4.05,40.8,James Conner,RB,ARI,36,4,35,49,8
4.05,40.8,Chuba Hubbard,RB,CAR,46,6.7,23,57,14
4.05,41.2,Omarion Hampton,RB,LAC,141,6.5,24,61,12
4.06,41.6,Garrett Wilson,WR,NYJ,44,4.8,32,64,9
4.08,43.8,George Kittle,TE,SF,79,6.2,28,56,14
4.09,44.6,DJ Moore,WR,BUF,34,5.5,31,65,7
4.09,45.4,DeVonta Smith,WR,PHI,32,7.8,34,76,9
4.11,46.9,Kenneth Walker III,RB,SEA,85,4.8,34,63,8
4.11,47.3,Tetairoa McMillan,WR,CAR,68,5.6,36,65,14
4.12,48.1,Courtland Sutton,WR,DEN,140,5,35,59,12
5.01,49.1,Breece Hall,RB,NYJ,38,5.4,35,59,9
5.01,49.3,Xavier Worthy,WR,KC,64,6.4,32,66,10
5.03,51.3,TreVeyon Henderson,RB,NE,114,6.6,34,69,14
5.04,51.9,Patrick Mahomes,QB,KC,64,7.7,31,66,10
5.04,52,Baker Mayfield,QB,TB,17,7.1,41,67,9
5.08,56.5,Jerry Jeudy,WR,CLE,30,6.2,48,69,9
5.09,57.1,Zay Flowers,WR,BAL,51,6.9,48,75,7
5.09,57.3,Tony Pollard,RB,TEN,44,3.9,49,66,10
5.09,57.5,Calvin Ridley,WR,TEN,112,5.7,42,76,10
5.1,58.1,D'Andre Swift,RB,CHI,69,5.9,42,73,5
5.12,59.5,David Montgomery,RB,HOU,29,8.5,37,73,6
5.12,59.6,George Pickens,WR,DAL,68,9.7,34,74,10
6.02,61.7,Jameson Williams,WR,DET,78,5.9,52,77,8
6.03,63.4,RJ Harvey,RB,DEN,50,5.3,49,71,12
6.04,63.6,Sam LaPorta,TE,DET,57,8.9,40,80,8
6.05,64.8,Aaron Jones Sr.,RB,MIN,40,5.1,51,74,6
6.05,64.8,Jaylen Waddle,WR,MIA,61,6.8,47,80,12
6.06,65.8,Travis Kelce,TE,KC,30,10,45,81,10
6.08,67.8,Deebo Samuel Sr.,WR,WAS,42,7.4,49,89,12
6.09,68.9,Isiah Pacheco,RB,KC,106,5.8,53,82,10
6.09,69,Bo Nix,QB,DEN,51,8.4,48,90,12
6.09,69.3,Brock Purdy,QB,SF,14,9.4,50,86,14
