player_id,player_name,position,season,metric,mean,std,p25,median,p75
00-0019596,Tom Brady,QB,2020,attempts,38.125,7.1822,35.75,39.5,42.0
00-0019596,Tom Brady,QB,2020,passing_yards,289.5625,77.0575,216.75,288.0,353.25
00-0019596,Tom Brady,QB,2020,passing_tds,2.5,1.3166,2.0,2.0,3.25
00-0019596,Tom Brady,QB,2021,attempts,42.2941,7.1569,36.0,42.0,48.0
00-0019596,Tom Brady,QB,2021,passing_yards,312.7059,76.5047,232.0,307.0,375.0
00-0019596,Tom Brady,QB,2021,passing_tds,2.5294,1.6247,1.0,2.0,4.0
00-0019596,Tom Brady,QB,2022,attempts,43.1176,11.005,40.0,44.0,52.0
00-0019596,Tom Brady,QB,2022,passing_yards,276.1176,77.8716,246.0,280.0,312.0
00-0019596,Tom Brady,QB,2022,passing_tds,1.4706,0.8745,1.0,1.0,2.0
00-0020531,Drew Brees,QB,2020,attempts,32.5,8.6603,29.0,33.0,36.5
00-0020531,Drew Brees,QB,2020,passing_yards,245.1667,72.8982,216.75,263.0,293.75
00-0020531,Drew Brees,QB,2020,passing_tds,2.0,1.1282,1.0,2.0,3.0
00-0022924,Ben Roethlisberger,QB,2020,attempts,40.5333,8.6261,35.0,41.0,47.5
00-0022924,Ben Roethlisberger,QB,2020,passing_yards,253.5333,59.2825,208.0,266.0,305.5
00-0022924,Ben Roethlisberger,QB,2020,passing_tds,2.2,0.8619,2.0,2.0,3.0
00-0022924,Ben Roethlisberger,QB,2021,attempts,37.8125,8.4555,31.75,40.0,41.75
00-0022924,Ben Roethlisberger,QB,2021,passing_yards,233.75,56.8219,200.75,240.0,267.75
00-0022924,Ben Roethlisberger,QB,2021,passing_tds,1.375,0.8062,1.0,1.0,2.0
00-0022942,Philip Rivers,QB,2020,attempts,33.9375,7.3799,28.0,33.5,39.75
00-0022942,Philip Rivers,QB,2020,passing_yards,260.5625,56.983,224.5,253.0,289.75
00-0022942,Philip Rivers,QB,2020,passing_tds,1.5,0.9661,1.0,1.0,2.0
00-0023436,Alex Smith,QB,2020,attempts,31.5,13.104,23.5,29.0,35.5
00-0023436,Alex Smith,QB,2020,passing_yards,197.75,127.1217,126.0,164.0,303.25
00-0023436,Alex Smith,QB,2020,passing_tds,0.75,0.7071,0.0,1.0,1.0
00-0023459,Aaron Rodgers,QB,2020,attempts,32.875,5.2138,29.75,33.0,34.25
00-0023459,Aaron Rodgers,QB,2020,passing_yards,268.6875,60.4557,237.75,286.5,306.5
00-0023459,Aaron Rodgers,QB,2020,passing_tds,3.0,1.2111,2.75,3.0,4.0
00-0023459,Aaron Rodgers,QB,2021,attempts,33.1875,6.6153,30.25,34.5,37.0
00-0023459,Aaron Rodgers,QB,2021,passing_yards,257.1875,72.0835,200.25,264.5,295.75
00-0023459,Aaron Rodgers,QB,2021,passing_tds,2.3125,1.1955,2.0,2.0,3.0
00-0023459,Aaron Rodgers,QB,2022,attempts,31.8824,7.5571,27.0,34.0,38.0
00-0023459,Aaron Rodgers,QB,2022,passing_yards,217.3529,36.9407,195.0,224.0,238.0
00-0023459,Aaron Rodgers,QB,2022,passing_tds,1.5294,0.7174,1.0,2.0,2.0
00-0023459,Aaron Rodgers,QB,2024,attempts,34.3529,8.4034,30.0,35.0,39.0
00-0023459,Aaron Rodgers,QB,2024,passing_yards,229.2353,60.4974,184.0,233.0,276.0
00-0023459,Aaron Rodgers,QB,2024,passing_tds,1.6471,1.1147,1.0,2.0,2.0
00-0023459,Aaron Rodgers,QB,2025,attempts,31.125,8.1721,26.0,32.0,35.25
00-0023459,Aaron Rodgers,QB,2025,passing_yards,207.625,55.405,166.25,211.0,245.25
00-0023459,Aaron Rodgers,QB,2025,passing_tds,1.5,1.1547,1.0,1.0,2.0
00-0023682,Ryan Fitzpatrick,QB,2020,attempts,29.6667,11.9373,20.0,28.0,39.0
00-0023682,Ryan Fitzpatrick,QB,2020,passing_yards,232.3333,82.8583,182.0,191.0,315.0
00-0023682,Ryan Fitzpatrick,QB,2020,passing_tds,1.4444,1.236,0.0,2.0,2.0
00-0026143,Matt Ryan,QB,2020,attempts,39.125,5.9986,35.75,38.5,40.5
00-0026143,Matt Ryan,QB,2020,passing_yards,286.3125,66.1279,236.5,277.0,309.5
00-0026143,Matt Ryan,QB,2020,passing_tds,1.625,1.3601,0.75,1.5,2.25
00-0026143,Matt Ryan,QB,2021,attempts,32.9412,7.7336,28.0,32.0,40.0
00-0026143,Matt Ryan,QB,2021,passing_yards,233.4118,72.273,190.0,216.0,297.0
00-0026143,Matt Ryan,QB,2021,passing_tds,1.1765,1.0744,0.0,1.0,2.0
00-0026143,Matt Ryan,QB,2022,attempts,38.4167,8.6913,32.75,37.0,41.75
00-0026143,Matt Ryan,QB,2022,passing_yards,254.75,70.2051,209.5,227.5,276.25
00-0026143,Matt Ryan,QB,2022,passing_tds,1.1667,0.9374,0.75,1.0,2.0
00-0026158,Joe Flacco,QB,2020,attempts,26.8,15.5145,25.0,30.0,33.0
00-0026158,Joe Flacco,QB,2020,passing_yards,172.8,92.5295,186.0,195.0,205.0
00-0026158,Joe Flacco,QB,2020,passing_tds,1.2,1.3038,0.0,1.0,2.0
00-0026158,Joe Flacco,QB,2022,attempts,38.2,21.9249,33.0,44.0,52.0
00-0026158,Joe Flacco,QB,2022,passing_yards,210.2,134.3845,149.0,285.0,307.0
00-0026158,Joe Flacco,QB,2022,passing_tds,1.0,1.7321,0.0,0.0,1.0
00-0026158,Joe Flacco,QB,2023,attempts,40.8,6.6858,42.0,44.0,44.0
00-0026158,Joe Flacco,QB,2023,passing_yards,323.2,49.3123,309.0,311.0,368.0
00-0026158,Joe Flacco,QB,2023,passing_tds,2.6,0.5477,2.0,3.0,3.0
00-0026158,Joe Flacco,QB,2024,attempts,35.4286,6.6797,31.0,38.0,39.0
00-0026158,Joe Flacco,QB,2024,passing_yards,251.5714,75.7515,184.0,264.0,301.0
00-0026158,Joe Flacco,QB,2024,passing_tds,1.7143,0.9512,1.5,2.0,2.0
00-0026158,Joe Flacco,QB,2025,attempts,32.0,17.7576,34.0,37.0,45.0
00-0026158,Joe Flacco,QB,2025,passing_yards,190.6923,133.6135,142.0,199.0,223.0
00-0026158,Joe Flacco,QB,2025,passing_tds,1.1538,1.281,0.0,1.0,2.0
00-0026197,Chad Henne,QB,2021,attempts,4.0,8.0,0.0,0.0,4.0
00-0026197,Chad Henne,QB,2021,passing_yards,20.5,41.0,0.0,0.0,20.5
00-0026197,Chad Henne,QB,2021,passing_tds,0.0,0.0,0.0,0.0,0.0
00-0026300,Josh Johnson,QB,2021,attempts,21.25,22.2916,3.0,22.0,40.25
00-0026300,Josh Johnson,QB,2021,passing_yards,159.5,174.5785,12.75,160.5,307.25
00-0026300,Josh Johnson,QB,2021,passing_tds,1.25,1.5,0.0,1.0,2.25
00-0026300,Josh Johnson,QB,2024,attempts,0.75,0.9574,0.0,0.5,1.25
00-0026300,Josh Johnson,QB,2024,passing_yards,4.25,7.8475,0.0,0.5,4.75
00-0026300,Josh Johnson,QB,2024,passing_tds,0.0,0.0,0.0,0.0,0.0
00-0026498,Matthew Stafford,QB,2020,attempts,33.0,9.136,31.0,33.0,37.5
00-0026498,Matthew Stafford,QB,2020,passing_yards,255.25,85.2655,220.0,261.0,295.5
00-0026498,Matthew Stafford,QB,2020,passing_tds,1.625,1.0878,1.0,1.0,3.0
00-0026498,Matthew Stafford,QB,2021,attempts,35.3529,5.8303,30.0,37.0,38.0
00-0026498,Matthew Stafford,QB,2021,passing_yards,287.4118,42.8953,251.0,294.0,309.0
00-0026498,Matthew Stafford,QB,2021,passing_tds,2.4118,1.0037,2.0,3.0,3.0
00-0026498,Matthew Stafford,QB,2022,attempts,33.6667,9.3541,27.0,33.0,41.0
00-0026498,Matthew Stafford,QB,2022,passing_yards,231.8889,50.6173,187.0,249.0,254.0
00-0026498,Matthew Stafford,QB,2022,passing_tds,1.1111,0.928,1.0,1.0,1.0
00-0026498,Matthew Stafford,QB,2023,attempts,34.7333,7.7133,32.0,34.0,37.5
00-0026498,Matthew Stafford,QB,2023,passing_yards,264.3333,52.9591,227.5,269.0,312.0
00-0026498,Matthew Stafford,QB,2023,passing_tds,1.6,1.0556,1.0,1.0,2.0
00-0026498,Matthew Stafford,QB,2024,attempts,32.3125,9.1922,26.5,29.5,38.0
00-0026498,Matthew Stafford,QB,2024,passing_yards,235.125,63.674,187.5,233.5,293.5
00-0026498,Matthew Stafford,QB,2024,passing_tds,1.25,1.3416,0.0,1.0,2.0
00-0026498,Matthew Stafford,QB,2025,attempts,35.1176,6.4796,31.0,33.0,38.0
00-0026498,Matthew Stafford,QB,2025,passing_yards,276.8824,83.7801,243.0,273.0,298.0
00-0026498,Matthew Stafford,QB,2025,passing_tds,2.7059,1.1048,2.0,3.0,3.0
00-0026544,Chase Daniel,QB,2020,attempts,10.75,5.8523,6.0,9.5,14.25
00-0026544,Chase Daniel,QB,2020,passing_yards,66.0,29.8552,48.5,70.5,88.0
00-0026544,Chase Daniel,QB,2020,passing_tds,0.25,0.5,0.0,0.0,0.25
00-0026625,Brian Hoyer,QB,2021,attempts,2.2,2.0494,0.0,3.0,4.0
00-0026625,Brian Hoyer,QB,2021,passing_yards,45.4,42.2173,0.0,63.0,79.0
00-0026625,Brian Hoyer,QB,2021,passing_tds,0.2,0.4472,0.0,0.0,0.0
