team,season,games_played,avg_pass_attempts_game,avg_carries_game,avg_targets_game
ARI,2020,16,35.9,29.9,33.9
ARI,2021,17,34.7,29.1,33.5
ARI,2022,17,39.0,25.5,37.3
ARI,2023,17,32.6,27.6,31.8
ARI,2024,17,31.9,27.2,30.8
ARI,2025,17,38.1,21.5,36.3
ATL,2020,16,39.2,25.2,36.9
ATL,2021,17,33.7,22.6,32.0
ATL,2022,17,24.4,32.8,23.4
ATL,2023,17,31.2,30.7,29.7
ATL,2024,17,32.9,29.1,31.7
ATL,2025,17,32.1,28.1,30.5
BAL,2020,16,25.3,34.6,23.8
BAL,2021,17,35.9,30.3,34.0
BAL,2022,17,28.7,30.5,26.6
BAL,2023,17,29.1,31.8,27.6
BAL,2024,17,28.1,32.6,26.6
BAL,2025,17,24.8,29.8,23.8
BUF,2020,16,37.2,25.7,35.6
BUF,2021,17,38.5,26.9,36.3
BUF,2022,16,35.9,26.9,33.8
BUF,2023,17,34.1,30.1,32.0
BUF,2024,17,30.6,28.7,29.1
BUF,2025,17,29.1,32.1,28.1
CAR,2020,16,34.3,25.2,32.9
CAR,2021,17,35.2,26.7,33.8
CAR,2022,17,26.9,28.4,25.1
CAR,2023,17,34.4,26.1,31.4
CAR,2024,17,32.1,24.1,30.4
CAR,2025,17,30.3,27.1,28.2
CHI,2020,16,38.4,24.5,37.2
CHI,2021,17,31.9,27.9,30.8
CHI,2022,17,22.2,32.8,21.1
CHI,2023,17,30.2,30.9,27.7
CHI,2024,17,33.3,25.4,30.9
CHI,2025,17,33.8,29.7,31.3
CIN,2020,16,36.3,25.6,35.4
CIN,2021,17,32.6,25.6,31.8
CIN,2022,16,38.1,24.9,37.1
CIN,2023,17,36.2,22.5,34.8
CIN,2024,17,38.4,22.4,36.9
CIN,2025,17,37.6,22.4,35.7
CLE,2020,16,31.3,30.8,28.8
CLE,2021,17,30.6,28.4,29.1
CLE,2022,17,31.8,31.3,29.8
CLE,2023,17,36.7,30.5,35.1
CLE,2024,17,38.9,23.0,37.3
CLE,2025,17,32.8,24.8,30.6
DAL,2020,16,39.9,26.8,38.5
