team,avg_targets_game,avg_carries_game,team_strength_multiplier,data_as_of
ARI,36.3,21.5,1.0,2026-03-05
ATL,30.5,28.1,1.0,2026-03-05
BAL,23.8,29.8,1.0,2026-03-05
BUF,28.1,32.1,1.0,2026-03-05
CAR,28.2,27.1,1.0,2026-03-05
CHI,31.3,29.7,1.0,2026-03-05
CIN,35.7,22.4,1.0,2026-03-05
CLE,30.6,24.8,1.0,2026-03-05
DAL,35.7,27.3,1.0,2026-03-05
DEN,34.3,26.8,1.0,2026-03-05
DET,32.4,25.9,1.0,2026-03-05
GB,26.3,28.6,1.0,2026-03-05
HOU,32.5,27.9,1.0,2026-03-05
IND,31.1,25.9,1.0,2026-03-05
JAX,32.2,28.8,1.0,2026-03-05
KC,32.3,25.3,1.0,2026-03-05
LA,34.2,27.4,1.0,2026-03-05
LAC,31.7,27.4,1.0,2026-03-05
LV,29.0,21.6,1.0,2026-03-05
MIA,26.5,25.3,1.0,2026-03-05
MIN,27.4,23.9,1.0,2026-03-05
NE,28.4,29.1,1.0,2026-03-05
NO,33.2,25.6,1.0,2026-03-05
NYG,29.6,30.0,1.0,2026-03-05
NYJ,27.7,26.8,1.0,2026-03-05
PHI,27.3,28.1,1.0,2026-03-05
PIT,30.6,23.9,1.0,2026-03-05
SEA,26.7,29.8,1.0,2026-03-05
SF,30.6,28.2,1.0,2026-03-05
TB,31.8,27.8,1.0,2026-03-05
TEN,31.1,22.2,1.0,2026-03-05
WAS,25.4,28.5,1.0,2026-03-05
