player_name,position,season,fpts_pg,fpts_season,vorp_pg,vorp_season,replacement_pg,est_games,adp,adp_round
Tom Brady,QB,2021,20.28,304.2,4.74,71.1,15.54,15,76.4,7
Aaron Rodgers,QB,2021,18.58,278.7,3.04,45.6,15.54,15,64.9,6
Matt Ryan,QB,2021,12.64,189.6,-2.9,-43.5,15.54,15,123.8,11
Matthew Stafford,QB,2021,23.76,356.4,8.22,123.3,15.54,15,85.2,8
A.J. Green,WR,2021,7.86,117.9,-0.76,-11.4,8.62,15,158.5,14
Julio Jones,WR,2021,5.27,52.7,-3.35,-33.5,8.62,10,44.3,4
Randall Cobb,WR,2021,4.04,40.4,-4.58,-45.8,8.62,10,160.8,14
Cole Beasley,WR,2021,5.38,80.7,-3.24,-48.6,8.62,15,156.8,14
Russell Wilson,QB,2021,17.34,260.1,1.8,27.0,15.54,15,67.5,6
Kirk Cousins,QB,2021,18.5,277.5,2.96,44.4,15.54,15,154.1,13
T.Y. Hilton,WR,2021,4.32,43.2,-4.3,-43.0,8.62,10,161.8,14
Ryan Tannehill,QB,2021,12.48,187.2,-3.06,-45.9,15.54,15,90.9,8
Adam Thielen,WR,2021,13.52,202.8,4.9,73.5,8.62,15,52.9,5
Zach Ertz,TE,2021,6.36,95.4,0.2,3.0,6.16,15,160.3,14
Keenan Allen,WR,2021,11.2,168.0,2.58,38.7,8.62,15,27.7,3
Robert Woods,WR,2021,6.96,104.4,-1.66,-24.9,8.62,15,39.1,4
Giovani Bernard,RB,2021,0.82,8.2,-5.48,-54.8,6.3,10,124.7,11
Travis Kelce,TE,2021,9.53,143.0,3.37,50.6,6.16,15,8.7,1
Latavius Murray,RB,2021,2.95,44.2,-3.35,-50.2,6.3,15,116.1,10
DeAndre Hopkins,WR,2021,13.79,206.8,5.17,77.6,8.62,15,18.1,2
Damien Williams,RB,2021,1.17,11.7,-5.13,-51.3,6.3,10,167.7,14
Odell Beckham Jr.,WR,2021,5.09,76.4,-3.53,-53.0,8.62,15,70.4,6
