#,Name,Pos,Team,Overall,Std.,High,Low
1,Christian McCaffrey,RB,SF,1.3,0.5,1.01,1.04
2,Saquon Barkley,RB,PHI,2.5,0.7,1.01,1.05
3,Ezekiel Elliott,RB,FA,3.7,1.4,1.01,1.08
4,Alvin Kamara,RB,NO,4.5,1.2,1.02,1.09
5,Clyde Edwards-Helaire,RB,FA,5.6,1.5,1.01,1.09
6,Dalvin Cook,RB,FA,6.1,1.6,1.03,1.11
7,Derrick Henry,RB,BAL,6.6,1.6,1.03,1.12
8,Michael Thomas,WR,FA,7.3,1.8,1.03,1.12
9,Josh Jacobs,RB,GB,9.1,1.6,1.05,2.04
10,Davante Adams,WR,LAR,10.3,1.8,1.05,2.07
11,Joe Mixon,RB,HOU,11.4,2.1,1.05,2.05
12,Nick Chubb,RB,HOU,12.3,2.4,1.03,2.07
13,Kenyan Drake,RB,FA,13.2,2.4,1.06,2.08
14,Tyreek Hill,WR,FA,13.6,2.6,1.05,2.09
15,Miles Sanders,RB,DAL,14.2,2.6,1.06,2.1
16,Austin Ekeler,RB,WAS,15.2,2.7,1.09,3.01
17,Julio Jones,WR,FA,16.4,2.9,1.09,2.12
18,Aaron Jones Sr.,RB,MIN,17.4,2.8,1.09,3.05
19,Patrick Mahomes,QB,KC,18.3,6.2,1.01,3.06
20,DeAndre Hopkins,WR,BAL,18.9,3,1.1,3.05
21,Travis Kelce,TE,KC,19.9,3.6,1.04,3.05
22,Lamar Jackson,QB,BAL,21.4,4.9,1.07,3.07
23,Chris Godwin Jr.,WR,TB,22,2.9,1.06,3.06
24,James Conner,RB,ARI,23.5,3.2,2.01,3.09
25,George Kittle,TE,SF,24.7,3.5,2.03,3.12
26,Kenny Golladay,WR,FA,26.2,3.1,2.03,3.12
27,Mike Evans,WR,TB,27.6,3.3,2.04,4.02
28,Leonard Fournette,RB,FA,27.9,4.1,2.06,4.08
29,David Johnson,RB,FA,29.3,3.5,2.08,4.04
30,Adam Thielen,WR,FA,30.2,3.4,2.08,4.06
31,Allen Robinson II,WR,FA,33.3,3.6,2.12,4.08
32,Jonathan Taylor,RB,IND,33.3,4.6,2.1,5.02
33,Odell Beckham Jr.,WR,FA,34.7,4.8,2.03,4.11
34,Amari Cooper,WR,FA,35.6,4,3.01,4.11
35,DJ Moore,WR,BUF,36.6,4.1,3.02,4.11
36,Melvin Gordon III,RB,FA,38.7,4.7,2.12,5.04
37,Cooper Kupp,WR,SEA,38.8,4.7,2.11,4.12
38,JuJu Smith-Schuster,WR,KC,40.8,4.3,2.12,5.04
39,Mark Ingram II,RB,FA,40.9,4.5,2.1,5.04
40,Calvin Ridley,WR,TEN,42.4,3.9,3.05,5.04
41,Devin Singletary,RB,NYG,42.5,5.8,2.02,5.07
42,Mark Andrews,TE,BAL,43.1,6.3,2.12,5.07
43,A.J. Brown,WR,PHI,43.7,3.9,3.05,5.03
44,Robert Woods,WR,FA,44,3.7,3.05,5.08
45,DK Metcalf,WR,PIT,46.5,3.7,3.09,5.09
46,Raheem Mostert,RB,LV,48.3,5.9,3.04,6.06
47,DJ Chark,WR,FA,48.7,4.3,3.05,6.03
48,Keenan Allen,WR,LAC,49.7,4.7,3.12,6.04
49,Terry McLaurin,WR,WAS,51.3,3.6,4.01,6.03
50,Tyler Lockett,WR,LV,51.6,4.1,4.01,6.02
51,Zach Ertz,TE,WAS,51.9,6,3.06,6.02
52,Cam Akers,RB,SEA,52.2,5.9,3.09,6.07
53,Dak Prescott,QB,DAL,53,7.1,3.08,6.05
54,David Montgomery,RB,HOU,53.2,5.4,4.02,6.05
55,Kareem Hunt,RB,KC,56.7,6.1,3.07,6.11
56,Ronald Jones,RB,FA,57.1,6.5,3.07,7.03
57,Courtland Sutton,WR,DEN,57.6,5,4.06,7.05
58,T.Y. Hilton,WR,FA,59.8,5.6,4.11,7.02
59,Marquise Brown,WR,KC,59.9,5,4.02,7.04
60,Russell Wilson,QB,NYG,60.3,8.5,3.01,7.06
61,Kyler Murray,QB,ARI,60.3,6.3,4.01,7.01
62,D'Andre Swift,RB,CHI,62.7,4.7,4.09,7.03
63,Stefon Diggs,WR,NE,62.7,6.2,4.09,7.09
64,Darren Waller,TE,MIA,64.4,7.3,3.11,7.08
65,Deshaun Watson,QB,CLE,66.9,5.4,4.1,7.07
66,DeVante Parker,WR,FA,67.5,5.2,5.01,7.09
67,J.K. Dobbins,RB,DEN,69.6,5.8,4.09,7.12
68,Marlon Mack,RB,FA,69.7,6.4,4.11,7.12
69,Michael Gallup,WR,FA,69.7,5.6,5.05,8.03
70,A.J. Green,WR,FA,71.2,6.6,5.01,8.09
71,Evan Engram,TE,DEN,71.9,7.3,3.07,8.04
72,Phillip Lindsay,RB,FA,76.1,8.1,3.1,9.01
73,Jordan Howard,RB,FA,76.1,7.1,3.12,8.11
74,Tyler Boyd,WR,FA,76.7,6.9,5.1,8.12
75,Brandin Cooks,WR,BUF,79.8,7.3,5.1,9.03
76,Matt Ryan,QB,FA,81.4,7.5,6.03,9.09
77,Antonio Gibson,RB,FA,81.6,7.2,6.03,9.02
78,Hayden Hurst,TE,FA,81.7,7.2,6.06,9.12
79,Deebo Samuel Sr.,WR,WAS,85.4,7.6,4.03,9.04
80,Jarvis Landry,WR,FA,85.6,7.5,6.02,9.08
81,Aaron Rodgers,QB,PIT,85.7,9.3,4.09,9.06
82,Zack Moss,RB,FA,86.5,7,5.12,9.07
83,Tevin Coleman,RB,FA,90.4,6.5,6.03,9.08
84,Marvin Jones Jr.,WR,FA,91.8,6.6,6.11,10.01
