ADP,Name,Pos,Team,Overall,Std.,High,Low
1,Christian McCaffrey,RB,SF,1.4,0.7,1.01,1.05
2,Breece Hall,RB,NYJ,2.2,0.9,1.01,1.05
3,Tyreek Hill,WR,FA,2.6,0.9,1.01,1.06
4,CeeDee Lamb,WR,DAL,3.7,1.3,1.01,1.06
5,Bijan Robinson,RB,ATL,4.9,1.3,1.01,1.09
6,Amon-Ra St. Brown,WR,DET,6.2,1.2,1.01,1.1
7,Ja'Marr Chase,WR,CIN,7.2,1.8,1.01,1.11
8,Justin Jefferson,WR,MIN,8,1.6,1.03,2.02
9,Jahmyr Gibbs,RB,DET,9.4,2.2,1.02,2.05
10,Jonathan Taylor,RB,IND,9.8,2,1.02,2.03
11,A.J. Brown,WR,PHI,10.9,1.8,1.06,2.03
12,Saquon Barkley,RB,PHI,11.3,2.3,1.02,2.06
13,Garrett Wilson,WR,NYJ,12.1,1.9,1.06,2.06
14,Marvin Harrison Jr.,WR,ARI,14.5,2.3,1.07,2.07
15,Puka Nacua,WR,LAR,15.2,2.2,1.08,2.11
16,Kyren Williams,RB,LAR,15.9,2.9,1.03,2.12
17,Derrick Henry,RB,BAL,15.9,2.8,1.02,2.12
18,Travis Etienne Jr.,RB,JAX,17.6,2.5,1.06,3.01
19,Cooper Kupp,WR,SEA,18.9,2.7,1.12,3.02
20,Isiah Pacheco,RB,KC,19.8,2.9,1.11,3.03
21,Davante Adams,WR,LAR,20,2.8,1.12,3.04
22,De'Von Achane,RB,MIA,21.4,4.5,1.09,3.1
23,Drake London,WR,ATL,21.5,3.1,1.11,3.04
24,Deebo Samuel Sr.,WR,WAS,23,3.2,2.04,3.06
25,Josh Jacobs,RB,GB,23.6,3.6,2.01,3.09
26,Travis Kelce,TE,KC,24.4,4.6,1.08,3.1
27,Josh Allen,QB,BUF,25.1,5.2,1.05,4.01
28,Chris Olave,WR,NO,26.2,3.3,1.12,3.09
29,Rachaad White,RB,TB,29,3.3,2.12,4.01
30,Jaylen Waddle,WR,MIA,29.1,3.7,2.04,4.04
31,Sam LaPorta,TE,DET,29.4,4,2.05,4.07
32,James Cook,RB,BUF,30.3,4.1,1.12,4.05
33,Patrick Mahomes,QB,KC,30.8,6.2,1.06,4.08
34,Nico Collins,WR,HOU,32.1,4,2.06,4.05
35,Alvin Kamara,RB,NO,32.3,3.8,2.07,4.06
36,Mike Evans,WR,TB,33.5,4.5,2.01,4.08
37,Joe Mixon,RB,HOU,35,4.3,3.01,4.11
38,Kenneth Walker III,RB,SEA,35.6,4.1,2.1,4.1
39,Jalen Hurts,QB,PHI,37.3,5.4,2.05,4.11
40,DeVonta Smith,WR,PHI,38.3,4.1,3.02,4.11
41,Malik Nabers,WR,NYG,38.3,4.6,2.11,5.02
42,DK Metcalf,WR,PIT,40.7,5.7,2.09,5.07
43,Mark Andrews,TE,BAL,41.2,4.9,3.03,5.06
44,Stefon Diggs,WR,NE,41.8,4.8,2.11,5.03
45,DJ Moore,WR,BUF,43.7,4.6,3.05,5.08
46,Lamar Jackson,QB,BAL,44.2,4.9,3.01,5.07
47,Michael Pittman Jr.,WR,IND,45.2,5.4,2.12,5.09
48,Aaron Jones Sr.,RB,MIN,46,5.7,2.11,5.08
49,James Conner,RB,ARI,47.6,5,3.01,6.01
50,Brandon Aiyuk,WR,SF,48.1,5.3,3.05,5.12
51,Amari Cooper,WR,FA,49.2,3.7,4.04,5.1
52,C.J. Stroud,QB,HOU,49.9,6.6,2.07,6.07
53,Trey McBride,TE,ARI,50.4,5.5,3.03,6.03
54,Tee Higgins,WR,CIN,51.8,4.5,4.06,6.01
55,David Montgomery,RB,HOU,54.6,5.7,3.12,6.08
56,Anthony Richardson Sr.,QB,IND,55.2,4.3,4.05,6.03
57,Christian Kirk,WR,HOU,55.6,4.3,4.05,6.09
58,D'Andre Swift,RB,CHI,56.5,6.5,3.06,7.01
59,Zay Flowers,WR,BAL,56.8,4.2,4.11,6.05
60,Tank Dell,WR,HOU,57.5,4.4,4.09,6.1
61,Dalton Kincaid,TE,BUF,59.1,6,4.03,7.05
62,Joe Burrow,QB,CIN,59.7,7.5,3.06,7.09
63,George Pickens,WR,DAL,59.8,5.8,3.02,6.12
64,Rhamondre Stevenson,RB,NE,62,5.8,4.07,7.02
65,Keenan Allen,WR,LAC,63.5,5.7,5.01,7.04
66,Raheem Mostert,RB,LV,64.1,6.2,4.03,7.07
67,Rashee Rice,WR,KC,64.2,9.6,2.04,8.01
68,Nick Chubb,RB,HOU,65,7.1,4.05,7.1
69,Jayden Reed,WR,GB,65.1,5.9,3.12,7.02
70,George Kittle,TE,SF,66.7,8.1,3.11,7.12
71,Najee Harris,RB,LAC,67.1,5.7,4.12,7.08
72,Zamir White,RB,LV,67.8,6.1,3.11,7.09
73,Chris Godwin Jr.,WR,TB,68.4,6.3,5.06,8.02
74,Dak Prescott,QB,DAL,69.8,7.2,4.08,7.12
75,Terry McLaurin,WR,WAS,70.2,7.4,4.09,8.02
76,Kyle Pitts Sr.,TE,ATL,72.8,7.8,4.04,8.04
77,Jordan Love,QB,GB,73.2,8.3,5.04,8.06
78,Zack Moss,RB,FA,74.4,8,5.02,8.09
79,Calvin Ridley,WR,TEN,74.7,5.8,5.01,8.03
80,Kyler Murray,QB,ARI,76.1,8.2,5.01,8.1
81,Javonte Williams,RB,DAL,77.5,6.3,5.06,8.07
82,Evan Engram,TE,DEN,79.5,9.1,5.02,8.12
83,Jaylen Warren,RB,PIT,79.6,5.7,5.02,8.05
84,Tony Pollard,RB,TEN,81.7,7.4,3.09,9.01
85,Xavier Worthy,WR,KC,81.9,7.1,5.01,8.11
86,Marquise Brown,WR,KC,82.2,4.8,6.12,8.08
87,Christian Watson,WR,GB,84.2,7.7,4.11,11.01
88,Jonathon Brooks,RB,CAR,85.4,5.8,6.09,9.04
89,Devin Singletary,RB,NYG,87.9,6.1,6.06,9.08
90,Austin Ekeler,RB,WAS,88,6.7,5.09,9.01
91,Keon Coleman,WR,BUF,88.1,6.7,6.02,9.05
92,Tua Tagovailoa,QB,MIA,88.6,8.9,5.1,9.11
93,Jake Ferguson,TE,DAL,89.2,9.1,5.02,10.02
94,Jaxon Smith-Njigba,WR,SEA,90.5,10.8,1.08,9.1
95,Tyjae Spears,RB,TEN,91.4,5.6,7.02,10.07
96,Chase Brown,RB,CIN,91.9,7.4,5.04,9.11
97,Diontae Johnson,WR,FA,92.1,7.7,5.03,10.09
98,Jared Goff,QB,DET,94.3,13.1,2.01,11.01
99,Ezekiel Elliott,RB,FA,96.2,8.3,6.12,10.02
100,Rome Odunze,WR,CHI,97.7,7,6.09,10.04
101,Brian Robinson Jr.,RB,SF,97.9,7.9,7.02,10.12
102,Ladd McConkey,WR,LAC,98.4,6,8.03,10.04
103,Jerome Ford,RB,CLE,98.5,8.9,6.09,10.07
104,Jayden Daniels,QB,WAS,99.2,12.1,1.01,11.06
105,Gus Edwards,RB,FA,100.6,6.5,8.01,10.11
106,David Njoku,TE,CLE,101.1,9.4,7.03,10.07
107,Romeo Doubs,WR,GB,103,7.1,7.08,10.1
108,DeAndre Hopkins,WR,BAL,104.5,5.9,7.09,10.1
109,Dallas Goedert,TE,PHI,105.5,11.5,7.03,11.04
110,Brock Purdy,QB,SF,105.7,10.4,7.1,11.08
111,Tyler Lockett,WR,LV,106.6,7.3,8.03,10.08
112,Jameson Williams,WR,DET,107.8,8.1,7.12,11.11
113,Trey Benson,RB,ARI,108.5,5.7,8.12,11.02
114,Chuba Hubbard,RB,CAR,108.8,6.6,6.11,11.02
115,Blake Corum,RB,LAR,110.3,7.2,7.12,13.01
116,Courtland Sutton,WR,DEN,110.8,8.2,7.05,12.05
117,Brian Thomas Jr.,WR,JAX,114.2,8.5,7.11,13.01
118,Justin Herbert,QB,LAC,114.6,12.7,6.02,12.07
119,Mike Williams,WR,FA,116.1,8.1,9.02,12.12
120,J.K. Dobbins,RB,DEN,116.2,7.6,8.1,11.09
121,Caleb Williams,QB,CHI,116.7,13.3,3.12,13.03
122,Khalil Shakir,WR,BUF,117.4,9.7,8.06,12.12
123,Dalton Schultz,TE,HOU,117.9,16.1,6.09,13.06
124,T.J. Hockenson,TE,MIN,118.7,9.9,8.11,13.05
125,Rico Dowdle,RB,CAR,118.9,9.5,8.05,13.04
126,Brock Bowers,TE,LV,121.7,10,8.03,13.06
127,Curtis Samuel,WR,BUF,122.6,8.6,9.08,13.05
128,Matthew Stafford,QB,LAR,123.1,11.3,5.09,12.08
129,Tyler Allgeier,RB,ATL,125.1,10.4,9.03,13.06
130,Jaleel McLaughlin,RB,DEN,126.6,8.6,9.08,13.04
131,Trevor Lawrence,QB,JAX,126.7,11,8.07,13.06
132,Elijah Mitchell,RB,NE,129.8,14.5,9.05,13.06
133,Kirk Cousins,QB,ATL,130.1,10.8,8.05,13.06
134,Ty Chandler,RB,MIN,130.3,7.1,10.04,13.06
135,Aaron Rodgers,QB,PIT,130.4,13.6,7.08,13.06
136,Joshua Palmer,WR,BUF,130.5,8.1,9.01,13.06
137,Zach Charbonnet,RB,SEA,130.7,6.7,10.05,13.03
138,Baltimore Defense,DEF,BAL,131.2,15.9,6.05,14.02
139,Jakobi Meyers,WR,JAX,131.7,13.8,8.07,13.1
140,Jerry Jeudy,WR,CLE,132.9,8.2,9.1,13.01
141,San Francisco Defense,DEF,SF,133.4,17.8,5.08,14.03
142,Jordan Addison,WR,MIN,134.1,9.7,9.08,13.08
143,Justin Fields,QB,NYJ,134.7,55.4,3.01,18.04
144,Brandin Cooks,WR,BUF,135.1,9.4,9.1,13.08
145,Pat Freiermuth,TE,PIT,135.5,11.6,9.07,14.12
146,Khalil Herbert,RB,NYJ,136.4,9.8,10.05,14.07
147,Cole Kmet,TE,CHI,137.1,13.8,8.05,14.09
148,Dallas Defense,DEF,DAL,139.3,17.9,8.1,14.11
149,Rashid Shaheed,WR,SEA,139.8,7.7,11.03,13.06
150,NY Jets Defense,DEF,NYJ,140.8,18.2,7.09,16.03
151,Justin Tucker,PK,FA,140.9,19,7.04,16.05
152,Xavier Legette,WR,CAR,141.3,11.9,11.01,15.1
153,Harrison Butker,PK,KC,142,20.5,6.03,16.02
154,Brandon Aubrey,PK,DAL,143.6,17.4,9.03,16.05
155,Kimani Vidal,RB,LAC,143.9,14.2,10.1,15.12
156,Chicago Defense,DEF,CHI,147.4,25.7,4.09,16.11
