"Rank","Player","Position","Position Rank","ADP on February 23","ADP on March  4","ADP Change"
1,"Bijan Robinson","RB","RB1",1.1,1.4,0.3
2,"Jahmyr Gibbs","RB","RB2",2.8,1.9,-0.9
3,"Puka Nacua","WR","WR1",2.8,3.2,0.4
4,"Ja'Marr Chase","WR","WR2",3.6,3.7,0.1
5,"Jaxon Smith-Njigba","WR","WR3",5.2,5.2,0
6,"Jonathan Taylor","RB","RB3",6.6,6.5,-0.1
7,"Christian McCaffrey","RB","RB4",7.4,7.3,-0.1
8,"CeeDee Lamb","WR","WR4",8.3,8.4,0.1
9,"Amon-Ra St. Brown","WR","WR5",8.9,8.8,-0.1
10,"James Cook","RB","RB5",10.6,10.5,-0.1
11,"De'Von Achane","RB","RB6",11.4,11.3,-0.1
12,"Ashton Jeanty","RB","RB7",11.7,12.1,0.4
13,"Justin Jefferson","WR","WR6",13.8,13.2,-0.6
14,"Omarion Hampton","RB","RB8",15.3,15,-0.3
15,"Jeremiyah Love","RB","RB9",18.5,15.9,-2.6
16,"Trey McBride","TE","TE1",15.7,16.7,1
17,"Saquon Barkley","RB","RB10",17.5,17.2,-0.3
18,"Malik Nabers","WR","WR7",16.3,17.6,1.3
19,"Drake London","WR","WR8",17.1,18.1,1
20,"Derrick Henry","RB","RB11",21.3,20.5,-0.8
21,"Brock Bowers","TE","TE2",20.6,21,0.4
22,"Chase Brown","RB","RB12",22,22.2,0.2
23,"George Pickens","WR","WR9",22.8,23,0.2
24,"Nico Collins","WR","WR10",23.3,23.2,-0.1
25,"Chris Olave","WR","WR11",26.2,26.4,0.2
26,"Josh Jacobs","RB","RB13",27.4,27.1,-0.3
27,"Bucky Irving","RB","RB14",27.9,27.5,-0.4
28,"Kenneth Walker III","RB","RB15",30.5,29.4,-1.1
29,"Breece Hall","RB","RB16",29.3,30,0.7
30,"A.J. Brown","WR","WR12",32.3,30.5,-1.8
31,"Josh Allen","QB","QB1",30.5,30.7,0.2
32,"Tetairoa McMillan","WR","WR12",31.4,30.8,-0.6
33,"Rashee Rice","WR","WR14",30.5,32.7,2.2
34,"Tee Higgins","WR","WR15",33.2,33.5,0.3
35,"Kyren Williams","RB","RB17",33.9,33.7,-0.2
36,"Travis Etienne Jr.","RB","RB18",36.6,36.5,-0.1
37,"Ladd McConkey","WR","WR16",36.3,37,0.7
38,"Garrett Wilson","WR","WR17",38.4,38.3,-0.1
39,"Jameson Williams","WR","WR18",40.4,40.7,0.3
40,"Zay Flowers","WR","WR19",41.5,41,-0.5
41,"Davante Adams","WR","WR20",42,42.1,0.1
42,"DeVonta Smith","WR","WR21",44,43.1,-0.9
43,"Javonte Williams","RB","RB19",50.3,43.3,-7
44,"Colston Loveland","TE","TE3",43.3,44.2,0.9
45,"Emeka Egbuka","WR","WR22",45.2,44.8,-0.4
46,"Terry McLaurin","WR","WR23",46.8,46,-0.8
47,"TreVeyon Henderson","RB","RB21",46.9,47.5,0.6
48,"Cam Skattebo","RB","RB20",44.5,48.1,3.6
49,"Lamar Jackson","QB","QB2",47.8,48.7,0.9
50,"Luther Burden","WR","WR24",48.7,48.9,0.2
51,"Jaylen Waddle","WR","WR25",51.4,51,-0.4
52,"RJ Harvey","RB","RB22",50.9,52.4,1.5
53,"Quinshon Judkins","RB","RB23",54.7,53.2,-1.5
54,"Carnell Tate","WR","WR26",53.8,53.7,-0.1
55,"Christian Watson","WR","WR27",56.2,56.3,0.1
56,"Rome Odunze","WR","WR28",57.8,56.9,-0.9
57,"Makai Lemon","WR","WR29",57.6,58.5,0.9
58,"D'Andre Swift","RB","RB24",58.7,58.9,0.2
59,"Brian Thomas","WR","WR30",60.5,59.5,-1
60,"Jayden Daniels","QB","QB3",62.3,61.5,-0.8
61,"Jordyn Tyson","WR","WR31",59.4,61.7,2.3
62,"Courtland Sutton","WR","WR32",62.7,62.6,-0.1
63,"Marvin Harrison","WR","WR33",64.5,63.5,-1
64,"Joe Burrow","QB","QB4",64.2,64,-0.2
65,"Mike Evans","WR","WR34",66.2,64.4,-1.8
66,"Drake Maye","QB","QB5",62.8,66.9,4.1
67,"DK Metcalf","WR","WR35",67.5,67.1,-0.4
68,"Caleb Williams","QB","QB6",67.4,68.3,0.9
69,"Tyler Warren","TE","TE4",68.2,69.3,1.1
70,"Jalen Hurts","QB","QB7",68.9,69.5,0.6
71,"Jaylen Warren","RB","RB25",72.2,71.6,-0.6
72,"Parker Washington","WR","WR36",73.4,71.6,-1.8
73,"Rhamondre Stevenson","RB","RB26",72.9,75.1,2.2
74,"Michael Wilson","WR","WR38",74.6,75.4,0.8
75,"Ricky Pearsall","WR","WR37",76,75.4,-0.6
76,"Harold Fannin","TE","TE5",74.9,75.5,0.6
77,"Bhayshul Tuten","RB","RB27",76.4,75.9,-0.5
78,"Alec Pierce","WR","WR39",78.8,79.4,0.6
79,"Justin Herbert","QB","QB8",79.3,80.3,1
80,"Jaxson Dart","QB","QB9",80.1,81.4,1.3
