"Rank","Player","Position","Position Rank","ADP on March 11","ADP on March 18","ADP Change"
1,"Bijan Robinson","RB","RB1",1.4,1.3,-0.1
2,"Jahmyr Gibbs","RB","RB2",1.9,1.9,0
3,"Puka Nacua","WR","WR1",3.2,3.3,0.1
4,"Ja'Marr Chase","WR","WR2",3.7,3.7,0
5,"Jaxon Smith-Njigba","WR","WR3",5.3,5.3,0
6,"Jonathan Taylor","RB","RB3",6.5,6.4,-0.1
7,"Christian McCaffrey","RB","RB4",7.2,7.1,-0.1
8,"CeeDee Lamb","WR","WR4",8.6,8.8,0.2
9,"Amon-Ra St. Brown","WR","WR5",9,9,0
10,"Justin Jefferson","WR","WR6",12.8,10.7,-2.1
11,"James Cook","RB","RB5",10.6,11,0.4
12,"Ashton Jeanty","RB","RB6",11.5,11.8,0.3
13,"De'Von Achane","RB","RB7",11.6,12.8,1.2
14,"Omarion Hampton","RB","RB8",14.8,15.1,0.3
15,"Jeremiyah Love","RB","RB9",16.1,16.4,0.3
16,"Saquon Barkley","RB","RB10",16.5,16.5,0
17,"Trey McBride","TE","TE1",17.6,17.7,0.1
18,"Malik Nabers","WR","WR7",18.3,18.1,-0.2
19,"Drake London","WR","WR8",19.1,19.2,0.1
20,"Kenneth Walker III","RB","RB11",21.1,20.1,-1
21,"Derrick Henry","RB","RB12",20.3,20.9,0.6
22,"Brock Bowers","TE","TE2",22.1,22.4,0.3
23,"Chase Brown","RB","RB13",22.6,22.4,-0.2
24,"George Pickens","WR","WR9",23.7,23.4,-0.3
25,"Nico Collins","WR","WR10",23.9,24.3,0.4
26,"Chris Olave","WR","WR11",27.5,27,-0.5
27,"Josh Jacobs","RB","RB14",27.8,27.3,-0.5
28,"Josh Allen","QB","QB1",30.5,29.6,-0.9
29,"A.J. Brown","WR","WR12",29.8,30,0.2
30,"Travis Etienne Jr.","RB","RB15",32.9,30.4,-2.5
31,"Breece Hall","RB","RB16",31.4,31.2,-0.2
32,"Tetairoa McMillan","WR","WR13",32.3,32.2,-0.1
33,"Tee Higgins","WR","WR14",33.6,33.3,-0.3
34,"Bucky Irving","RB","RB17",28.4,34.2,5.8
35,"Rashee Rice","WR","WR15",33.7,34.7,1
36,"Kyren Williams","RB","RB18",35.1,35.2,0.1
37,"Garrett Wilson","WR","WR16",38.8,36.5,-2.3
38,"Ladd McConkey","WR","WR17",37.9,39.1,1.2
39,"Emeka Egbuka","WR","WR18",43.4,39.6,-3.8
40,"Zay Flowers","WR","WR19",40.9,40.7,-0.2
41,"Javonte Williams","RB","RB19",43.2,41.8,-1.4
42,"Luther Burden","WR","WR20",42.5,42.6,0.1
43,"DeVonta Smith","WR","WR21",40.7,43.2,2.5
44,"Jameson Williams","WR","WR22",43.1,44.5,1.4
45,"Colston Loveland","TE","TE3",43.9,46.1,2.2
46,"Davante Adams","WR","WR23",45.3,46.4,1.1
47,"Terry McLaurin","WR","WR24",47.1,47.2,0.1
48,"TreVeyon Henderson","RB","RB20",47.9,47.7,-0.2
49,"Lamar Jackson","QB","QB2",49.6,50,0.4
50,"Jaylen Waddle","WR","WR25",51.1,50.2,-0.9
51,"Mike Evans","WR","WR26",56.9,51.3,-5.6
52,"Quinshon Judkins","RB","RB21",53.8,52.7,-1.1
53,"Rome Odunze","WR","WR27",52.3,53.6,1.3
54,"Cam Skattebo","RB","RB22",52.3,54.7,2.4
55,"Carnell Tate","WR","WR28",55,56,1
56,"Christian Watson","WR","WR29",57.4,57.3,-0.1
57,"Bhayshul Tuten","RB","RB23",64.6,57.8,-6.8
58,"D'Andre Swift","RB","RB24",61.2,58.6,-2.6
59,"Brian Thomas","WR","WR30",59.1,60.7,1.6
60,"RJ Harvey","RB","RB25",58.7,61.3,2.6
61,"Makai Lemon","WR","WR31",60.9,62.4,1.5
62,"Jayden Daniels","QB","QB3",62.7,63.2,0.5
63,"Joe Burrow","QB","QB4",65.1,64.5,-0.6
64,"D.J. Moore","WR","WR32",64.6,64.8,0.2
65,"Marvin Harrison","WR","WR33",63.7,65.3,1.6
66,"Jordyn Tyson","WR","WR34",66.1,67.6,1.5
67,"Courtland Sutton","WR","WR35",66.4,67.9,1.5
68,"Caleb Williams","QB","QB5",68.5,68.7,0.2
69,"Tyler Warren","TE","TE4",71.6,68.9,-2.7
70,"Jalen Hurts","QB","QB6",70.4,69.8,-0.6
71,"David Montgomery","RB","RB26",73.1,71.1,-2
72,"Alec Pierce","WR","WR36",73.9,71.2,-2.7
73,"Drake Maye","QB","QB7",70.4,72,1.6
74,"Parker Washington","WR","WR37",72.9,73.1,0.2
75,"DK Metcalf","WR","WR38",71.7,74.7,3
76,"Michael Wilson","WR","WR39",77.6,76.2,-1.4
77,"Jaylen Warren","RB","RB27",72.9,76.8,3.9
78,"Harold Fannin","TE","TE5",79.1,77.4,-1.7
79,"Rhamondre Stevenson","RB","RB28",78.2,78.6,0.4
80,"Chuba Hubbard","RB","RB29",86.4,79.8,-6.6
81,"Ricky Pearsall","WR","WR40",79.1,80.9,1.8
82,"Dak Prescott","QB","QB8",82.9,82.7,-0.2
83,"Justin Herbert","QB","QB9",81.6,82.8,1.2
84,"Trevor Lawrence","QB","QB10",84.2,84.6,0.4
85,"Jakobi Meyers","WR","WR41",84.7,85.4,0.7
86,"Jaxson Dart","QB","QB11",84.7,85.9,1.2
87,"Tucker Kraft","TE","TE6",86.5,87.4,0.9
88,"Tyler Allgeier","RB","RB30",88,88.8,0.8
89,"Patrick Mahomes","QB","QB12",88.3,89.2,0.9
90,"Kyle Monangai","RB","RB31",88.3,90.4,2.1
91,"Jordan Addison","WR","WR42",97.1,90.5,-6.6
92,"Rico Dowdle","RB","RB32",97,93.5,-3.5
93,"Michael Pittman Jr.","WR","WR43",91.8,94.1,2.3
94,"Kyle Pitts","TE","TE7",93.7,95.1,1.4
95,"Quentin Johnston","WR","WR44",93.5,95.9,2.4
96,"Brock Purdy","QB","QB13",96.1,96.5,0.4
97,"Chris Godwin","WR","WR45",103.4,98.5,-4.9
98,"Tony Pollard","RB","RB33",95.3,99.1,3.8
99,"Sam LaPorta","TE","TE8",96.2,99.4,3.2
100,"Blake Corum","RB","RB34",97,100.3,3.3
101,"Matthew Stafford","QB","QB14",99.6,100.6,1
102,"Bo Nix","QB","QB15",103.8,102.4,-1.4
103,"Wan'Dale Robinson","WR","WR46",103.4,103.7,0.3
104,"Xavier Worthy","WR","WR47",101.7,104.5,2.8
105,"Jadarian Price","RB","RB35",102.5,105.1,2.6
106,"Jared Goff","QB","QB16",105,105.5,0.5
107,"Jayden Reed","WR","WR48",109.5,107.1,-2.4
108,"Jordan Love","QB","QB17",107.2,109,1.8
109,"Romeo Doubs","WR","WR49",126.7,109.3,-17.4
110,"Oronde Gadsden","TE","TE9",106.8,110.2,3.4
111,"Baker Mayfield","QB","QB18",110.4,111.6,1.2
112,"Kyler Murray","QB","QB19",122.1,112.2,-9.9
113,"J.K. Dobbins","RB","RB36",127,112.9,-14.1
114,"Kenneth Gainwell","RB","RB37",116.5,116.1,-0.4
115,"Dalton Kincaid","TE","TE10",112.5,116.5,4
116,"Jalen Coker","WR","WR50",116.6,118,1.4
117,"Tyler Shough","QB","QB20",117.5,119.4,1.9
118,"Malik Willis","QB","QB21",122.3,119.8,-2.5
119,"Jonah Coleman","RB","RB38",120.1,120.4,0.3
120,"Matthew Golden","WR","WR51",124.5,120.8,-3.7
121,"Jordan Mason","RB","RB39",123.1,122.5,-0.6
122,"Jauan Jennings","WR","WR52",115.4,122.8,7.4
123,"George Kittle","TE","TE11",120.9,123,2.1
124,"Khalil Shakir","WR","WR53",122.8,124.2,1.4
125,"KC Concepcion","WR","WR54",124.4,125.6,1.2
126,"Jake Ferguson","TE","TE12",126.1,126.5,0.4
127,"Kenyon Sadiq","TE","TE13",129,127.7,-1.3
128,"Jayden Higgins","WR","WR55",126.6,128.2,1.6
129,"Denzel Boston","WR","WR56",120.4,128.8,8.4
130,"Sam Darnold","QB","QB22",128,129.2,1.2
131,"Jacory Croskey-Merritt","RB","RB40",130,130,0
132,"Rachaad White","RB","RB41",148.3,132.1,-16.2
133,"Josh Downs","WR","WR57",141.5,132.3,-9.2
134,"Stefon Diggs","WR","WR58",119.9,132.7,12.8
135,"Mike Washington Jr.","RB","RB42",145.1,134.8,-10.3
136,"C.J. Stroud","QB","QB23",134.4,137.2,2.8
137,"Rashid Shaheed","WR","WR59",138.2,139.7,1.5
138,"Dallas Goedert","TE","TE14",144.4,140.4,-4
139,"Tyrone Tracy","RB","RB43",135.4,140.7,5.3
140,"Jalen McMillan","WR","WR60",149.4,140.9,-8.5
141,"Brenton Strange","TE","TE15",138.1,142.3,4.2
142,"Fernando Mendoza","QB","QB24",139.7,144,4.3
143,"Cam Ward","QB","QB25",144.5,144.9,0.4
144,"Bryce Young","QB","QB26",142.6,145.7,3.1
145,"Deebo Samuel","WR","WR61",136.1,145.7,9.6
146,"Travis Kelce","TE","TE16",152.1,147,-5.1
147,"Zach Charbonnet","RB","RB44",154.9,148.2,-6.7
148,"Mark Andrews","TE","TE17",149.9,148.4,-1.5
149,"Daniel Jones","QB","QB27",153.1,149,-4.1
150,"Woody Marks","RB","RB45",144.5,150.6,6.1
151,"Brandon Aiyuk","WR","WR62",149.3,150.7,1.4
152,"Aaron Jones","RB","RB46",172.9,151.5,-21.4
153,"Travis Hunter","WR","WR63",150.7,152,1.3
154,"Omar Cooper Jr.","WR","WR64",156.3,153.3,-3
155,"Juwan Johnson","TE","TE18",147.6,153.4,5.8
156,"Isaiah Likely","TE","TE19",159.3,154.5,-4.8
157,"James Conner","RB","RB47",143.2,155,11.8
158,"Jonathon Brooks","RB","RB48",157.3,155.5,-1.8
159,"Emmett Johnson","RB","RB49",150,159.6,9.6
160,"Hunter Henry","TE","TE20",159.1,160.5,1.4
161,"Jerry Jeudy","WR","WR65",163.4,161.4,-2
162,"Jacoby Brissett","QB","QB28",179.7,164.1,-15.6
163,"Chris Rodriguez","RB","RB50",233.8,164.3,-69.5
164,"Kayshon Boutte","WR","WR66",160.9,164.4,3.5
165,"Tyreek Hill","WR","WR67",156.7,164.7,8
166,"Keaton Mitchell","RB","RB51",194,166.5,-27.5
167,"Tyjae Spears","RB","RB52",163.4,169.3,5.9
168,"Pat Bryant","WR","WR68",163.7,170,6.3
169,"AJ Barner","TE","TE21",169.4,172,2.6
170,"Troy Franklin","WR","WR69",167,172.2,5.2
171,"Adonai Mitchell","WR","WR70",180.8,174.2,-6.6
172,"Trey Benson","RB","RB53",145.5,175.3,29.8
173,"Calvin Ridley","WR","WR71",177.5,175.4,-2.1
174,"Alvin Kamara","RB","RB54",161.6,176.7,15.1
175,"Sean Tucker","RB","RB55",167.4,177.1,9.7
176,"Isaac TeSlaa","WR","WR72",183.2,177.2,-6
177,"Dalton Schultz","TE","TE22",179.9,178.3,-1.6
178,"T.J. Hockenson","TE","TE23",185.9,179.4,-6.5
179,"Tank Dell","WR","WR73",177.7,180.3,2.6
180,"Tre' Harris","WR","WR74",178,180.4,2.4
181,"Isiah Pacheco","RB","RB56",225.6,180.6,-45
182,"Chig Okonkwo","TE","TE24",228.5,180.8,-47.7
183,"Chimere Dike","WR","WR75",174.8,181.1,6.3
184,"Dylan Sampson","RB","RB57",183.2,183.8,0.6
185,"David Njoku","TE","TE25",176.2,184.2,8
186,"Geno Smith","QB","QB29",222.7,184.2,-38.5
187,"Eli Stowers","TE","TE26",182.5,185.4,2.9
188,"Emanuel Wilson","RB","RB58",224.1,185.4,-38.7
189,"Jalen Nailor","WR","WR76",213.9,186.1,-27.8
190,"Tank Bigsby","RB","RB59",187.4,187.6,0.2
191,"Kimani Vidal","RB","RB60",168.8,188.1,19.3
192,"Tre Tucker","WR","WR77",187.9,191.3,3.4
193,"Braelon Allen","RB","RB61",181.8,194.8,13
194,"Brian Robinson","RB","RB62",185.7,195.1,9.4
195,"Kaytron Allen","RB","RB63",183.9,196.6,12.7
196,"Michael Penix","QB","QB30",180.1,197.1,17
197,"Mason Taylor","TE","TE27",200.9,198,-2.9
198,"Nicholas Singleton","RB","RB64",195.6,198.1,2.5
199,"Elijah Sarratt","WR","WR78",191.8,199.2,7.4
200,"Gunnar Helm","TE","TE28",199.6,201.4,1.8
201,"Cade Otton","TE","TE29",206.8,203,-3.8
202,"Tua Tagovailoa","QB","QB31",216.4,203.3,-13.1
203,"Tory Horton","WR","WR79",194.7,203.5,8.8
204,"Terrance Ferguson","TE","TE30",192.2,203.9,11.7
205,"Aaron Rodgers","QB","QB32",205.7,206,0.3
206,"Ray Davis","RB","RB65",201.5,206,4.5
207,"Ryan Flournoy","WR","WR80",208,207.4,-0.6
208,"Zachariah Branch","WR","WR81",199.3,207.7,8.4
209,"Darnell Mooney","WR","WR82",225.5,207.9,-17.6
210,"Pat Freiermuth","TE","TE31",210.3,211.2,0.9
211,"Chris Brazzell II","WR","WR83",205.3,212,6.7
212,"Elic Ayomanor","WR","WR84",202.5,213.5,11
213,"Kyle Williams","WR","WR86",210,216.2,6.2
214,"Malik Washington","WR","WR85",223.6,216.2,-7.4
215,"Germie Bernard","WR","WR87",212.8,217.2,4.4
216,"George Holani","RB","RB66",232,218.1,-13.9
217,"Theo Johnson","TE","TE32",188.8,218.2,29.4
218,"Jake Tonges","TE","TE33",226.4,218.5,-7.9
219,"Ja'Kobi Lane","WR","WR88",208.4,221,12.6
220,"Marvin Mims Jr.","WR","WR89",213.3,223.3,10
221,"Demond Claiborne","RB","RB67",220.4,223.6,3.2
222,"Colby Parkinson","TE","TE34",210.6,224.4,13.8
223,"Shedeur Sanders","QB","QB33",223.7,225.1,1.4
224,"Najee Harris","RB","RB68",210.6,227,16.4
225,"Devaughn Vele","WR","WR90",227.8,227.4,-0.4
226,"Cooper Kupp","WR","WR91",222.9,228,5.1
227,"Christian Kirk","WR","WR92",238.5,228.4,-10.1
228,"Ollie Gordon","RB","RB69",227.7,228.9,1.2
229,"Jaydon Blue","RB","RB70",227.3,229.3,2
230,"Keon Coleman","WR","WR93",214.7,229.8,15.1
231,"LeQuint Allen","RB","RB71",229.8,230.1,0.3
232,"Tez Johnson","WR","WR94",233.5,230.2,-3.3
233,"Mike Gesicki","TE","TE35",232.9,230.8,-2.1
234,"Jaylin Noel","WR","WR95",231.5,232.4,0.9
235,"Dontayvion Wicks","WR","WR96",236.4,233.6,-2.8
236,"Rashod Bateman","WR","WR97",233.9,233.7,-0.2
237,"Ty Simpson","QB","QB34",233.8,233.9,0.1
238,"Keenan Allen","WR","WR98",228,234.1,6.1
