"Rank","Player","Position","Position Rank","ADP on March 18","ADP on March 25","ADP Change"
1,"Bijan Robinson","RB","RB1",1.3,1.3,0
2,"Jahmyr Gibbs","RB","RB2",1.9,1.8,-0.1
3,"Puka Nacua","WR","WR1",3.3,3.4,0.1
4,"Ja'Marr Chase","WR","WR2",3.7,3.7,0
5,"Jaxon Smith-Njigba","WR","WR3",5.3,5.2,-0.1
6,"Jonathan Taylor","RB","RB3",6.4,6.5,0.1
7,"Christian McCaffrey","RB","RB4",7.1,7.2,0.1
8,"CeeDee Lamb","WR","WR4",8.8,8.8,0
9,"Amon-Ra St. Brown","WR","WR5",9,9,0
10,"Justin Jefferson","WR","WR6",10.7,10.1,-0.6
11,"James Cook","RB","RB5",11,11.1,0.1
12,"Ashton Jeanty","RB","RB6",11.8,11.8,0
13,"De'Von Achane","RB","RB7",12.8,13.1,0.3
14,"Omarion Hampton","RB","RB8",15.1,15.1,0
15,"Jeremiyah Love","RB","RB9",16.4,16,-0.4
16,"Saquon Barkley","RB","RB10",16.5,16.2,-0.3
17,"Malik Nabers","WR","WR7",18.1,18.1,0
18,"Trey McBride","TE","TE1",17.7,18.3,0.6
19,"Drake London","WR","WR8",19.2,19.4,0.2
20,"Kenneth Walker III","RB","RB11",20.1,20,-0.1
21,"Derrick Henry","RB","RB12",20.9,20.6,-0.3
22,"Chase Brown","RB","RB13",22.4,22.1,-0.3
23,"Brock Bowers","TE","TE2",22.4,23.3,0.9
24,"George Pickens","WR","WR9",23.4,23.6,0.2
25,"Nico Collins","WR","WR10",24.3,24.2,-0.1
26,"Chris Olave","WR","WR11",27,27,0
27,"Josh Jacobs","RB","RB14",27.3,27.1,-0.2
28,"Josh Allen","QB","QB1",29.6,29.3,-0.3
29,"A.J. Brown","WR","WR12",30,29.8,-0.2
30,"Travis Etienne Jr.","RB","RB15",30.4,30.2,-0.2
31,"Breece Hall","RB","RB16",31.2,31.5,0.3
32,"Tetairoa McMillan","WR","WR13",32.2,31.9,-0.3
33,"Tee Higgins","WR","WR14",33.3,33.2,-0.1
34,"Kyren Williams","RB","RB17",35.2,34.5,-0.7
35,"Rashee Rice","WR","WR15",34.7,34.8,0.1
36,"Bucky Irving","RB","RB18",34.2,35.9,1.7
37,"Garrett Wilson","WR","WR16",36.5,36.9,0.4
38,"Ladd McConkey","WR","WR17",39.1,38.7,-0.4
39,"Emeka Egbuka","WR","WR18",39.6,39.4,-0.2
40,"Javonte Williams","RB","RB19",41.8,40.1,-1.7
41,"Zay Flowers","WR","WR19",40.7,40.9,0.2
42,"DeVonta Smith","WR","WR20",43.2,41.9,-1.3
43,"Luther Burden","WR","WR21",42.6,43.2,0.6
44,"Jameson Williams","WR","WR22",44.5,44.6,0.1
45,"Colston Loveland","TE","TE3",46.1,45.7,-0.4
46,"Davante Adams","WR","WR23",46.4,46.7,0.3
47,"Jaylen Waddle","WR","WR24",50.2,47.2,-3
48,"Terry McLaurin","WR","WR25",47.2,47.9,0.7
49,"TreVeyon Henderson","RB","RB20",47.7,48.5,0.8
50,"Lamar Jackson","QB","QB2",50,50.9,0.9
51,"Mike Evans","WR","WR26",51.3,51.6,0.3
52,"Quinshon Judkins","RB","RB21",52.7,52.2,-0.5
53,"Rome Odunze","WR","WR27",53.6,53.5,-0.1
54,"Cam Skattebo","RB","RB22",54.7,55.9,1.2
55,"Carnell Tate","WR","WR28",56,56.5,0.5
56,"Christian Watson","WR","WR29",57.3,57.4,0.1
57,"D'Andre Swift","RB","RB23",58.6,58.3,-0.3
58,"D.J. Moore","WR","WR30",64.8,58.9,-5.9
59,"Bhayshul Tuten","RB","RB24",57.8,60,2.2
60,"Brian Thomas","WR","WR31",60.7,60.8,0.1
61,"David Montgomery","RB","RB25",71.1,61.6,-9.5
62,"Jayden Daniels","QB","QB3",63.2,62.9,-0.3
63,"RJ Harvey","RB","RB26",61.3,63.2,1.9
64,"Makai Lemon","WR","WR32",62.4,63.5,1.1
65,"Joe Burrow","QB","QB4",64.5,64.5,0
66,"Marvin Harrison","WR","WR33",65.3,65.7,0.4
67,"Tyler Warren","TE","TE4",68.9,67.7,-1.2
68,"Caleb Williams","QB","QB5",68.7,68.6,-0.1
69,"Jordyn Tyson","WR","WR34",67.6,69,1.4
70,"Jalen Hurts","QB","QB6",69.8,69.4,-0.4
71,"Alec Pierce","WR","WR35",71.2,70.4,-0.8
72,"Drake Maye","QB","QB7",72,71.7,-0.3
73,"Parker Washington","WR","WR36",73.1,73.2,0.1
74,"Courtland Sutton","WR","WR37",67.9,73.7,5.8
75,"DK Metcalf","WR","WR38",74.7,75.6,0.9
76,"Jaylen Warren","RB","RB27",76.8,76.4,-0.4
77,"Chuba Hubbard","RB","RB28",79.8,77.3,-2.5
78,"Michael Wilson","WR","WR39",76.2,77.6,1.4
79,"Harold Fannin","TE","TE5",77.4,79.4,2
80,"Rhamondre Stevenson","RB","RB29",78.6,79.6,1
81,"Dak Prescott","QB","QB8",82.7,81,-1.7
82,"Ricky Pearsall","WR","WR40",80.9,82.8,1.9
83,"Justin Herbert","QB","QB9",82.8,82.9,0.1
84,"Trevor Lawrence","QB","QB10",84.6,84.6,0
85,"Jaxson Dart","QB","QB11",85.9,85.1,-0.8
86,"Jakobi Meyers","WR","WR41",85.4,86.6,1.2
87,"Tyler Allgeier","RB","RB30",88.8,87.5,-1.3
88,"Tucker Kraft","TE","TE6",87.4,88.6,1.2
89,"Jordan Addison","WR","WR42",90.5,88.8,-1.7
90,"Patrick Mahomes","QB","QB12",89.2,90.5,1.3
91,"Kyle Monangai","RB","RB31",90.4,92.3,1.9
92,"Rico Dowdle","RB","RB32",93.5,92.4,-1.1
93,"Chris Godwin","WR","WR43",98.5,94.4,-4.1
94,"Brock Purdy","QB","QB13",96.5,95.2,-1.3
95,"Michael Pittman Jr.","WR","WR44",94.1,96.2,2.1
96,"Kyle Pitts","TE","TE7",95.1,97.1,2
97,"Bo Nix","QB","QB14",102.4,98.3,-4.1
98,"Blake Corum","RB","RB33",100.3,98.8,-1.5
99,"Quentin Johnston","WR","WR45",95.9,99.5,3.6
100,"Sam LaPorta","TE","TE8",99.4,100.4,1
101,"Matthew Stafford","QB","QB15",100.6,101.2,0.6
102,"Tony Pollard","RB","RB34",99.1,102.6,3.5
103,"Wan'Dale Robinson","WR","WR46",103.7,103.2,-0.5
104,"Romeo Doubs","WR","WR47",109.3,103.8,-5.5
105,"Jadarian Price","RB","RB35",105.1,104.8,-0.3
106,"Jared Goff","QB","QB16",105.5,105.5,0
107,"Xavier Worthy","WR","WR48",104.5,107,2.5
108,"Jayden Reed","WR","WR49",107.1,107.1,0
109,"J.K. Dobbins","RB","RB36",112.9,107.9,-5
110,"Jordan Love","QB","QB17",109,108.7,-0.3
111,"Kyler Murray","QB","QB18",112.2,109,-3.2
112,"Oronde Gadsden","TE","TE9",110.2,111,0.8
113,"Baker Mayfield","QB","QB19",111.6,111.9,0.3
114,"Kenneth Gainwell","RB","RB37",116.1,114.6,-1.5
115,"Jalen Coker","WR","WR50",118,117.1,-0.9
116,"Dalton Kincaid","TE","TE10",116.5,117.6,1.1
117,"Tyler Shough","QB","QB20",119.4,118.8,-0.6
118,"Jordan Mason","RB","RB38",122.5,118.9,-3.6
119,"Matthew Golden","WR","WR51",120.8,120.4,-0.4
120,"Malik Willis","QB","QB21",119.8,122.5,2.7
121,"George Kittle","TE","TE11",123,123.5,0.5
122,"KC Concepcion","WR","WR52",125.6,123.9,-1.7
123,"Khalil Shakir","WR","WR53",124.2,124.6,0.4
124,"Jonah Coleman","RB","RB39",120.4,125.9,5.5
125,"Kenyon Sadiq","TE","TE12",127.7,126.1,-1.6
126,"Josh Downs","WR","WR54",132.3,126.2,-6.1
127,"Jayden Higgins","WR","WR55",128.2,126.8,-1.4
128,"Jake Ferguson","TE","TE13",126.5,128.2,1.7
129,"Rachaad White","RB","RB40",132.1,128.5,-3.6
130,"Jauan Jennings","WR","WR56",122.8,129.8,7
131,"Sam Darnold","QB","QB22",129.2,130.4,1.2
132,"Denzel Boston","WR","WR57",128.8,133.8,5
133,"Jacory Croskey-Merritt","RB","RB41",130,134.5,4.5
134,"Mike Washington Jr.","RB","RB42",134.8,134.9,0.1
135,"C.J. Stroud","QB","QB23",137.2,135.8,-1.4
136,"Jalen McMillan","WR","WR58",140.9,136.5,-4.4
137,"Dallas Goedert","TE","TE14",140.4,138.5,-1.9
138,"Travis Kelce","TE","TE15",147,139.1,-7.9
139,"Rashid Shaheed","WR","WR59",139.7,139.4,-0.3
140,"Stefon Diggs","WR","WR60",132.7,141.7,9
141,"Aaron Jones","RB","RB43",151.5,142.5,-9
142,"Cam Ward","QB","QB24",144.9,142.6,-2.3
143,"Tyrone Tracy","RB","RB44",140.7,144.1,3.4
144,"Zach Charbonnet","RB","RB45",148.2,144.4,-3.8
145,"Chris Rodriguez","RB","RB46",164.3,145.1,-19.2
146,"Bryce Young","QB","QB25",145.7,146.4,0.7
147,"Brenton Strange","TE","TE16",142.3,146.6,4.3
148,"Isaiah Likely","TE","TE17",154.5,146.7,-7.8
149,"Daniel Jones","QB","QB26",149,147.7,-1.3
150,"Fernando Mendoza","QB","QB27",144,148.7,4.7
151,"Omar Cooper Jr.","WR","WR61",153.3,149.2,-4.1
152,"Mark Andrews","TE","TE18",148.4,149.7,1.3
153,"Brandon Aiyuk","WR","WR62",150.7,151.9,1.2
154,"Jonathon Brooks","RB","RB47",155.5,153.4,-2.1
155,"Travis Hunter","WR","WR63",152,153.9,1.9
156,"Juwan Johnson","TE","TE19",153.4,155.7,2.3
157,"Deebo Samuel","WR","WR64",145.7,156.3,10.6
158,"Keaton Mitchell","RB","RB48",166.5,157.5,-9
159,"James Conner","RB","RB49",155,157.8,2.8
160,"Woody Marks","RB","RB50",150.6,159.2,8.6
161,"Jacoby Brissett","QB","QB28",164.1,159.9,-4.2
162,"Jerry Jeudy","WR","WR65",161.4,161.5,0.1
163,"Hunter Henry","TE","TE20",160.5,161.7,1.2
164,"Emmett Johnson","RB","RB51",159.6,164,4.4
165,"Chig Okonkwo","TE","TE21",180.8,165.9,-14.9
166,"Kayshon Boutte","WR","WR66",164.4,167.3,2.9
167,"Tyreek Hill","WR","WR67",164.7,168.2,3.5
168,"Isiah Pacheco","RB","RB52",180.6,169,-11.6
169,"Emanuel Wilson","RB","RB53",185.4,169.9,-15.5
170,"Tyjae Spears","RB","RB54",169.3,171.8,2.5
171,"Adonai Mitchell","WR","WR68",174.2,172.2,-2
172,"Calvin Ridley","WR","WR69",175.4,173.3,-2.1
173,"Isaac TeSlaa","WR","WR70",177.2,173.7,-3.5
174,"AJ Barner","TE","TE22",172,174.3,2.3
175,"Geno Smith","QB","QB29",184.2,175.8,-8.4
176,"T.J. Hockenson","TE","TE23",179.4,176.3,-3.1
177,"Jalen Nailor","WR","WR71",186.1,176.5,-9.6
178,"Dalton Schultz","TE","TE24",178.3,178.2,-0.1
179,"Tank Dell","WR","WR72",180.3,178.3,-2
180,"Dylan Sampson","RB","RB55",183.8,180.2,-3.6
181,"Tre' Harris","WR","WR73",180.4,181.3,0.9
182,"Sean Tucker","RB","RB56",177.1,182.2,5.1
183,"Chimere Dike","WR","WR74",181.1,185.3,4.2
184,"Eli Stowers","TE","TE25",185.4,185.7,0.3
185,"Tank Bigsby","RB","RB57",187.6,186.9,-0.7
186,"Darnell Mooney","WR","WR75",207.9,189.4,-18.5
187,"David Njoku","TE","TE26",184.2,189.5,5.3
188,"Trey Benson","RB","RB58",175.3,190.5,15.2
189,"Alvin Kamara","RB","RB59",176.7,190.8,14.1
190,"Tre Tucker","WR","WR76",191.3,191.2,-0.1
191,"Pat Bryant","WR","WR77",170,191.7,21.7
192,"Malik Washington","WR","WR78",216.2,192.6,-23.6
193,"Christian Kirk","WR","WR79",228.4,194.9,-33.5
194,"Mason Taylor","TE","TE27",198,195.7,-2.3
195,"Troy Franklin","WR","WR80",172.2,196.7,24.5
196,"Cade Otton","TE","TE28",203,197.2,-5.8
197,"Kimani Vidal","RB","RB60",188.1,197.8,9.7
198,"Nicholas Singleton","RB","RB61",198.1,197.8,-0.3
199,"Brian Robinson","RB","RB62",195.1,198.1,3
200,"Tua Tagovailoa","QB","QB30",203.3,199.1,-4.2
201,"Braelon Allen","RB","RB63",194.8,199.3,4.5
202,"Gunnar Helm","TE","TE29",201.4,201.1,-0.3
203,"Kaytron Allen","RB","RB64",196.6,204.3,7.7
204,"Elijah Sarratt","WR","WR81",199.2,205.4,6.2
205,"Ryan Flournoy","WR","WR82",207.4,206.2,-1.2
206,"Terrance Ferguson","TE","TE30",203.9,207.5,3.6
207,"Ray Davis","RB","RB65",206,209.8,3.8
208,"Tory Horton","WR","WR83",203.5,210.5,7
209,"Aaron Rodgers","QB","QB32",206,210.7,4.7
