"Rank","Player","Position","Position Rank","ADP on March 25","ADP on April  1","ADP Change"
1,"Bijan Robinson","RB","RB1",1.3,1.4,0.1
2,"Jahmyr Gibbs","RB","RB2",1.8,1.8,0
3,"Ja'Marr Chase","WR","WR1",3.7,3.4,-0.3
4,"Puka Nacua","WR","WR2",3.4,3.9,0.5
5,"Jaxon Smith-Njigba","WR","WR3",5.2,5.1,-0.1
6,"Jonathan Taylor","RB","RB3",6.5,6.4,-0.1
7,"Christian McCaffrey","RB","RB4",7.2,7.5,0.3
8,"CeeDee Lamb","WR","WR4",8.8,8.5,-0.3
9,"Amon-Ra St. Brown","WR","WR5",9,9,0
10,"Justin Jefferson","WR","WR6",10.1,10.1,0
11,"James Cook","RB","RB5",11.1,11,-0.1
12,"Ashton Jeanty","RB","RB6",11.8,11.9,0.1
13,"De'Von Achane","RB","RB7",13.1,13.5,0.4
14,"Omarion Hampton","RB","RB8",15.1,15.3,0.2
15,"Jeremiyah Love","RB","RB9",16,15.6,-0.4
16,"Saquon Barkley","RB","RB10",16.2,16,-0.2
17,"Malik Nabers","WR","WR7",18.1,17.7,-0.4
18,"Trey McBride","TE","TE1",18.3,18.9,0.6
19,"Kenneth Walker III","RB","RB11",20,19.1,-0.9
20,"Drake London","WR","WR8",19.4,19.5,0.1
21,"Derrick Henry","RB","RB12",20.6,20.4,-0.2
22,"Chase Brown","RB","RB13",22.1,21.9,-0.2
23,"Brock Bowers","TE","TE2",23.3,23.3,0
24,"George Pickens","WR","WR9",23.6,23.9,0.3
25,"Nico Collins","WR","WR10",24.2,24.4,0.2
26,"Chris Olave","WR","WR11",27,27,0
27,"Josh Jacobs","RB","RB14",27.1,27.2,0.1
28,"Josh Allen","QB","QB1",29.3,29,-0.3
29,"A.J. Brown","WR","WR12",29.8,29.4,-0.4
30,"Travis Etienne Jr.","RB","RB15",30.2,30.3,0.1
31,"Tetairoa McMillan","WR","WR13",31.9,31.6,-0.3
32,"Breece Hall","RB","RB16",31.5,32.4,0.9
33,"Tee Higgins","WR","WR14",33.2,32.9,-0.3
34,"Kyren Williams","RB","RB17",34.5,34.3,-0.2
35,"Rashee Rice","WR","WR15",34.8,35.1,0.3
36,"Garrett Wilson","WR","WR16",36.9,36.6,-0.3
37,"Bucky Irving","RB","RB18",35.9,36.9,1
38,"Ladd McConkey","WR","WR17",38.7,38.8,0.1
39,"Emeka Egbuka","WR","WR18",39.4,39,-0.4
40,"Javonte Williams","RB","RB19",40.1,40.4,0.3
41,"Zay Flowers","WR","WR19",40.9,40.6,-0.3
42,"DeVonta Smith","WR","WR20",41.9,41.5,-0.4
43,"Luther Burden","WR","WR21",43.2,42.3,-0.9
44,"Jameson Williams","WR","WR22",44.6,45.1,0.5
45,"Colston Loveland","TE","TE3",45.7,46,0.3
46,"Jaylen Waddle","WR","WR23",47.2,47.2,0
47,"Terry McLaurin","WR","WR24",47.9,47.5,-0.4
48,"TreVeyon Henderson","RB","RB20",48.5,48.7,0.2
49,"Davante Adams","WR","WR25",46.7,48.8,2.1
50,"Mike Evans","WR","WR26",51.6,49.8,-1.8
51,"Lamar Jackson","QB","QB2",50.9,50.9,0
52,"Rome Odunze","WR","WR27",53.5,52.8,-0.7
53,"Quinshon Judkins","RB","RB21",52.2,53.8,1.6
54,"D.J. Moore","WR","WR28",58.9,54.1,-4.8
55,"Carnell Tate","WR","WR29",56.5,56.5,0
56,"Bhayshul Tuten","RB","RB22",60,56.8,-3.2
57,"Cam Skattebo","RB","RB22",55.9,56.8,0.9
58,"David Montgomery","RB","RB24",61.6,57,-4.6
59,"Christian Watson","WR","WR30",57.4,58.7,1.3
60,"D'Andre Swift","RB","RB25",58.3,60.6,2.3
61,"Brian Thomas","WR","WR31",60.8,61.9,1.1
62,"Jayden Daniels","QB","QB3",62.9,62.4,-0.5
63,"Makai Lemon","WR","WR32",63.5,63.4,-0.1
64,"Joe Burrow","QB","QB4",64.5,64.7,0.2
65,"Marvin Harrison","WR","WR33",65.7,64.7,-1
66,"RJ Harvey","RB","RB26",63.2,66.5,3.3
67,"Tyler Warren","TE","TE4",67.7,68.1,0.4
68,"Caleb Williams","QB","QB5",68.6,68.5,-0.1
69,"Alec Pierce","WR","WR34",70.4,68.8,-1.6
70,"Jalen Hurts","QB","QB6",69.4,69.6,0.2
71,"Jordyn Tyson","WR","WR35",69,70.8,1.8
72,"Drake Maye","QB","QB7",71.7,71.9,0.2
